cat_code,top_cat,sub_cat_contribution,sub_cat_1,sub_cat_2,jrc_idees
PPRD,Gross available energy,+,Primary production,,
RCV_RCY,Gross available energy,+,Recovered & recycled products,,
IMP,Gross available energy,+,Imports,,
EXP,Gross available energy,-,Exports,,
STK_CHG,Gross available energy,+,Change in stock,,
GAE,Gross available energy,=,,,
INTMARB,International maritime bunkers,-,,,
GIC,Gross inland consumption,=,,,
INTAVI,International aviation,-,,,
NRGSUP,Total energy supply,=,,,
GIC2020-2030,Gross inland consumption (Europe 2020-2030),=,,,
PEC2020-2030,Primary energy consumption (Europe 2020-2030),=,,,
FEC2020-2030,Final energy consumption (Europe 2020-2030),=,,,
TI_E,Transformation input,=,,,
TI_EHG_E,Transformation input,+,Electricity & heat generation,,
TI_EHG_MAPE_E,Transformation input,+,Electricity & heat generation,Main activity producer electricity only,
TI_EHG_MAPCHP_E,Transformation input,+,Electricity & heat generation,Main activity producer CHP,
TI_EHG_MAPH_E,Transformation input,+,Electricity & heat generation,Main activity producer heat only,
TI_EHG_APE_E,Transformation input,+,Electricity & heat generation,Autoproducer electricity only,
TI_EHG_APCHP_E,Transformation input,+,Electricity & heat generation,Autoproducer CHP ,
TI_EHG_APH_E,Transformation input,+,Electricity & heat generation,Autoproducer heat only,
TI_EHG_EDHP,Transformation input,+,Electricity & heat generation,Electrically driven heat pumps,
TI_EHG_EB,Transformation input,+,Electricity & heat generation,Electric boilers,
TI_EHG_EPS,Transformation input,+,Electricity & heat generation,Electricity for pumped storage,
TI_EHG_DHEP,Transformation input,+,Electricity & heat generation,Derived heat for electricity production,
TI_CO_E,Transformation input,+,Coke ovens,,
TI_BF_E,Transformation input,+,Blast furnaces,,
TI_GW_E,Transformation input,+,Gas works,,
TI_RPI_E,Transformation input,+,Refineries & petrochemical industry,,
TI_RPI_RI_E,Transformation input,+,Refineries & petrochemical industry,Refinery intake,
TI_RPI_BPI_E,Transformation input,+,Refineries & petrochemical industry,Backflows from petrochemical industry,
TI_RPI_PT_E,Transformation input,+,Refineries & petrochemical industry,Products transferred,
TI_RPI_IT_E,Transformation input,+,Refineries & petrochemical industry,Interproduct transfers,
TI_RPI_DU_E,Transformation input,+,Refineries & petrochemical industry,Direct use,
TI_RPI_PII_E,Transformation input,+,Refineries & petrochemical industry,Petrochemical industry intake,
TI_PF_E,Transformation input,+,Patent fuel plants,,
TI_BKBPB_E,Transformation input,+,BKB & PB plants,,
TI_CL_E,Transformation input,+,Coal liquefaction plants,,
TI_BNG_E,Transformation input,+,For blended natural gas,,
TI_LBB_E,Transformation input,+,Liquid biofuels blended,,
TI_CPP_E,Transformation input,+,Charcoal production plants,,
TI_GTL_E,Transformation input,+,Gas-to-liquids plants,,
TI_NSP_E,Transformation input,+,Not elsewhere specified ,,
TO,Transformation output,=,,,
TO_EHG,Transformation output,+,Electricity & heat generation,,
TO_EHG_MAPE,Transformation output,+,Electricity & heat generation,Main activity producer electricity only,
TO_EHG_MAPCHP,Transformation output,+,Electricity & heat generation,Main activity producer CHP,
TO_EHG_MAPH,Transformation output,+,Electricity & heat generation,Main activity producer heat only,
TO_EHG_APE,Transformation output,+,Electricity & heat generation,Autoproducer electricity only,
TO_EHG_APCHP,Transformation output,+,Electricity & heat generation,Autoproducer CHP ,
TO_EHG_APH,Transformation output,+,Electricity & heat generation,Autoproducer heat only,
TO_EHG_EDHP,Transformation output,+,Electricity & heat generation,Electrically driven heat pumps,
TO_EHG_EB,Transformation output,+,Electricity & heat generation,Electric boilers,
TO_EHG_PH,Transformation output,+,Electricity & heat generation,Pumped hydro,
TO_EHG_OTH,Transformation output,+,Electricity & heat generation,Other sources,
TO_CO,Transformation output,+,Coke ovens,,
TO_BF,Transformation output,+,Blast furnaces,,
TO_GW,Transformation output,+,Gas works,,
TO_RPI,Transformation output,+,Refineries & petrochemical industry,,
TO_RPI_RO,Transformation output,+,Refineries & petrochemical industry,Refinery output,
TO_RPI_BKFLOW,Transformation output,+,Refineries & petrochemical industry,Backflows,
TO_RPI_PT,Transformation output,+,Refineries & petrochemical industry,Products transferred,
TO_RPI_IT,Transformation output,+,Refineries & petrochemical industry,Interproduct transfers,
TO_RPI_PPR,Transformation output,+,Refineries & petrochemical industry,Primary product receipts,
TO_RPI_PIR,Transformation output,+,Refineries & petrochemical industry,Petrochemical industry returns,
TO_PF,Transformation output,+,Patent fuel plants,,
TO_BKBPB,Transformation output,+,BKB & PB plants,,
TO_CL,Transformation output,+,Coal liquefaction plants,,
TO_BNG,Transformation output,+,Blended in natural gas,,
TO_LBB,Transformation output,+,Liquid biofuels blended,,
TO_CPP,Transformation output,+,Charcoal production plants,,
TO_GTL,Transformation output,+,Gas-to-liquids plants,,
TO_NSP,Transformation output,+,Not elsewhere specified ,,
NRG_E,Energy sector,=,,,
NRG_EHG_E,Energy sector,+,Own use in electricity & heat generation,,
NRG_CM_E,Energy sector,+,Coal mines,,
NRG_OIL_NG_E,Energy sector,+,Oil & natural gas extraction plants,,
NRG_PF_E,Energy sector,+,Patent fuel plants,,
NRG_CO_E,Energy sector,+,Coke ovens,,
NRG_BKBPB_E,Energy sector,+,BKB & PB plants,,
NRG_GW_E,Energy sector,+,Gas works,,
NRG_BF_E,Energy sector,+,Blast furnaces,,
NRG_PR_E,Energy sector,+,Petroleum refineries (oil refineries),,
NRG_NI_E,Energy sector,+,Nuclear industry,,
NRG_CL_E,Energy sector,+,Coal liquefaction plants,,
NRG_LNG_E,Energy sector,+,Liquefaction & regasification plants (LNG),,
NRG_BIOG_E,Energy sector,+,Gasification plants for biogas,,
NRG_GTL_E,Energy sector,+,Gas-to-liquids (GTL) plants,,
NRG_CPP_E,Energy sector,+,Charcoal production plants,,
NRG_NSP_E,Energy sector,+,Not elsewhere specified (energy),,
DL,Distribution losses,=,,,
AFC,Available for final consumption,=,,,
FC_NE,Final non-energy consumption,=,,,
TI_NRG_FC_IND_NE,Final non-energy consumption,+,Non-energy use industry/transformation/energy,,
TI_NE,Final non-energy consumption,+,Non-energy use industry/transformation/energy,Non-energy use in transformation sector,
NRG_NE,Final non-energy consumption,+,Non-energy use industry/transformation/energy,Non-energy use in energy sector,
FC_IND_NE,Final non-energy consumption,+,Non-energy use industry/transformation/energy,Non-energy use in industry sector,Chemicals Industry
FC_TRA_NE,Final non-energy consumption,+,Non-energy use in transport sector,,
FC_OTH_NE,Final non-energy consumption,+,Non-energy use in other sectors,,
FC_E,Final energy consumption,=,,,
FC_IND_E,Final energy consumption,+,Industry sector,,
FC_IND_IS_E,Final energy consumption,+,Industry sector,Iron & steel,Iron and steel
FC_IND_CPC_E,Final energy consumption,+,Industry sector,Chemical & petrochemical,Chemicals Industry
FC_IND_NFM_E,Final energy consumption,+,Industry sector,Non-ferrous metals,Non Ferrous Metals
FC_IND_NMM_E,Final energy consumption,+,Industry sector,Non-metallic minerals,Non-metallic mineral products
FC_IND_TE_E,Final energy consumption,+,Industry sector,Transport equipment,Transport Equipment
FC_IND_MAC_E,Final energy consumption,+,Industry sector,Machinery,Machinery Equipment
FC_IND_MQ_E,Final energy consumption,+,Industry sector,Mining & quarrying,Other Industrial Sectors
FC_IND_FBT_E,Final energy consumption,+,Industry sector,"Food, beverages & tobacco","Food, beverages and tobacco"
FC_IND_PPP_E,Final energy consumption,+,Industry sector,"Paper, pulp & printing","Pulp, paper and printing"
FC_IND_WP_E,Final energy consumption,+,Industry sector,Wood & wood products,Wood and wood products
FC_IND_CON_E,Final energy consumption,+,Industry sector,Construction,Other Industrial Sectors
FC_IND_TL_E,Final energy consumption,+,Industry sector,Textile & leather,Textiles and leather
FC_IND_NSP_E,Final energy consumption,+,Industry sector,Not elsewhere specified (industry),Other Industrial Sectors
FC_TRA_E,Final energy consumption,+,Transport sector,,
FC_TRA_RAIL_E,Final energy consumption,+,Transport sector,Rail,
FC_TRA_ROAD_E,Final energy consumption,+,Transport sector,Road,
FC_TRA_DAVI_E,Final energy consumption,+,Transport sector,Domestic aviation,
FC_TRA_DNAVI_E,Final energy consumption,+,Transport sector,Domestic navigation,
FC_TRA_PIPE_E,Final energy consumption,+,Transport sector,Pipeline transport,
FC_TRA_NSP_E,Final energy consumption,+,Transport sector,Not elsewhere specified (transport),
FC_OTH_E,Final energy consumption,+,Other sectors,,
FC_OTH_CP_E,Final energy consumption,+,Other sectors,Commercial & public services,
FC_OTH_HH_E,Final energy consumption,+,Other sectors,Households,
FC_OTH_AF_E,Final energy consumption,+,Other sectors,Agriculture & forestry,
FC_OTH_FISH_E,Final energy consumption,+,Other sectors,Fishing,
FC_OTH_NSP_E,Final energy consumption,+,Other sectors,Not elsewhere specified (other),
TOTX4_MEMO,Total (excluding LULUCF and memo items),,,,
TOTX4_MEMONIA,"Total (excluding LULUCF and memo items, including international aviation)",,,,
TOTX4_MEMONIT,"Total (excluding LULUCF and memo items, including international transport)",,,,
CRF1,Energy,,,,
CRF1A,Energy,,Fuel combustion - sectoral approach,,
CRF1A1,Energy,,Fuel combustion in energy industries,,
CRF1A1A,Energy,,Fuel combustion in energy industries,Fuel combustion in public electricity and heat production,
CRF1A1B,Energy,,Fuel combustion in energy industries,Fuel combustion in petroleum refining,
CRF1A1C,Energy,,Fuel combustion in energy industries,Fuel combustion in manufacture of solid fuels and other energy industries,
CRF1A2,Energy,,Fuel combustion in manufacturing industries and construction,,
CRF1A2A,Energy,,Fuel combustion in manufacturing industries and construction,Fuel combustion in manufacture of iron and steel,
CRF1A2B,Energy,,Fuel combustion in manufacturing industries and construction,Fuel combustion in manufacture of non-ferrous metals,
CRF1A2C,Energy,,Fuel combustion in manufacturing industries and construction,Fuel combustion in manufacture of chemicals,
CRF1A2D,Energy,,Fuel combustion in manufacturing industries and construction,"Fuel combustion in manufacture of pulp, paper and printing",
CRF1A2E,Energy,,Fuel combustion in manufacturing industries and construction,"Fuel combustion in manufacture of food, beverages and tobacco",
CRF1A2F,Energy,,Fuel combustion in manufacturing industries and construction,Fuel combustion in manufacture of non-metallic mineral products,
CRF1A2G,Energy,,Fuel combustion in manufacturing industries and construction,Fuel combustion in other manufacturing industries and construction,
CRF1A3,Energy,,Fuel combustion in transport,,
CRF1A3A,Energy,,Fuel combustion in transport,Fuel combustion in domestic aviation,
CRF1A3B,Energy,,Fuel combustion in transport,Fuel combustion in road transport,
CRF1A3B1,Energy,,Fuel combustion in transport,Fuel combustion in cars,
CRF1A3B2,Energy,,Fuel combustion in transport,Fuel combustion in light duty trucks,
CRF1A3B3,Energy,,Fuel combustion in transport,Fuel combustion in heavy duty trucks and buses,
CRF1A3B4,Energy,,Fuel combustion in transport,Fuel combustion in motorcycles,
CRF1A3B5,Energy,,Fuel combustion in transport,Fuel combustion in other road transportation,
CRF1A3C,Energy,,Fuel combustion in transport,Fuel combustion in railways,
CRF1A3D,Energy,,Fuel combustion in transport,Fuel combustion in domestic navigation,
CRF1A3E,Energy,,Fuel combustion in transport,Fuel combustion in other transport,
CRF1A4,Energy,,Other fuel combustion sectors,,
CRF1A4A,Energy,,Other fuel combustion sectors,Fuel combustion in commercial and institutional sector,
CRF1A4B,Energy,,Other fuel combustion sectors,Fuel combustion by households,
CRF1A4C,Energy,,Other fuel combustion sectors,"Fuel combustion in agriculture, forestry and fishing",
CRF1A5,Energy,,Other fuel combustion sectors n.e.c.,,
