id,country_code,name,type,proper
AUT.1_1,AUT,Burgenland,State,True
AUT.2_1,AUT,Kärnten,State,True
AUT.3_1,AUT,Niederösterreich,State,True
AUT.4_1,AUT,Oberösterreich,State,True
AUT.5_1,AUT,Salzburg,State,True
AUT.6_1,AUT,Steiermark,State,True
AUT.7_1,AUT,Tirol,State,True
AUT.8_1,AUT,Vorarlberg,State,True
AUT.9_1,AUT,Wien,State,True
BEL.1_1,BEL,Bruxelles,Region,True
BEL.2_1,BEL,Vlaanderen,Region,True
BEL.3_1,BEL,Wallonie,Region,True
BGR.1_1,BGR,Blagoevgrad,Province,True
BGR.2_1,BGR,Burgas,Province,True
BGR.3_1,BGR,Dobrich,Province,True
BGR.4_1,BGR,Gabrovo,Province,True
BGR.5_1,BGR,Grad Sofiya,Province,True
BGR.6_1,BGR,Haskovo,Province,True
BGR.7_1,BGR,Kardzhali,Province,True
BGR.8_1,BGR,Kyustendil,Province,True
BGR.9_1,BGR,Lovech,Province,True
BGR.10_1,BGR,Montana,Province,True
BGR.11_1,BGR,Pazardzhik,Province,True
BGR.12_1,BGR,Pernik,Province,True
BGR.13_1,BGR,Pleven,Province,True
BGR.14_1,BGR,Plovdiv,Province,True
BGR.15_1,BGR,Razgrad,Province,True
BGR.16_1,BGR,Ruse,Province,True
BGR.17_1,BGR,Shumen,Province,True
BGR.18_1,BGR,Silistra,Province,True
BGR.19_1,BGR,Sliven,Province,True
BGR.20_1,BGR,Smolyan,Province,True
BGR.21_1,BGR,Sofia,Province,True
BGR.22_1,BGR,Stara Zagora,Province,True
BGR.23_1,BGR,Targovishte,Province,True
BGR.24_1,BGR,Varna,Province,True
BGR.25_1,BGR,Veliko Tarnovo,Province,True
BGR.26_1,BGR,Vidin,Province,True
BGR.27_1,BGR,Vratsa,Province,True
BGR.28_1,BGR,Yambol,Province,True
HRV.1_1,HRV,Bjelovarska-Bilogorska,County,True
HRV.2_1,HRV,Brodsko-Posavska,County,True
HRV.3_1,HRV,Dubrovacko-Neretvanska,County,True
HRV.4_1,HRV,Grad Zagreb,City,True
HRV.5_1,HRV,Istarska,County,True
HRV.6_1,HRV,Karlovacka,County,True
HRV.7_1,HRV,Koprivničko-Križevačka,County,True
HRV.8_1,HRV,Krapinsko-Zagorska,County,True
HRV.9_1,HRV,Licko-Senjska,County,True
HRV.10_1,HRV,Medimurska,County,True
HRV.11_1,HRV,Osjecko-Baranjska,County,True
HRV.12_1,HRV,Požeško-Slavonska,County,True
HRV.13_1,HRV,Primorsko-Goranska,County,True
HRV.14_1,HRV,Šibensko-Kninska,County,True
HRV.15_1,HRV,Sisacko-Moslavacka,County,True
HRV.16_1,HRV,Splitsko-Dalmatinska,County,True
HRV.17_1,HRV,Varaždinska,County,True
HRV.18_1,HRV,Viroviticko-Podravska,County,True
HRV.19_1,HRV,Vukovarsko-Srijemska,County,True
HRV.20_1,HRV,Zadarska,County,True
HRV.21_1,HRV,Zagrebačka,County,True
CYP.1_1,CYP,Famagusta,District,True
CYP.2_1,CYP,Larnaca,District,True
CYP.3_1,CYP,Limassol,District,True
CYP.4_1,CYP,Nicosia,District,True
CYP.5_1,CYP,Paphos,District,True
CZE.1_1,CZE,Jihočeský,Region,True
CZE.2_1,CZE,Jihomoravský,Region,True
CZE.3_1,CZE,Karlovarský,Region,True
CZE.4_1,CZE,Kraj Vysočina,Region,True
CZE.5_1,CZE,Královéhradecký,Region,True
CZE.6_1,CZE,Liberecký,Region,True
CZE.7_1,CZE,Moravskoslezský,Region,True
CZE.8_1,CZE,Olomoucký,Region,True
CZE.9_1,CZE,Pardubický,Region,True
CZE.10_1,CZE,Plzeňský,Region,True
CZE.11_1,CZE,Prague,Region,True
CZE.12_1,CZE,Středočeský,Region,True
CZE.13_1,CZE,Ústecký,Region,True
CZE.14_1,CZE,Zlínský,Region,True
DNK.1_1,DNK,Hovedstaden,Region,True
DNK.2_1,DNK,Midtjylland,Region,True
DNK.3_1,DNK,Nordjylland,Region,True
DNK.4_1,DNK,Sjælland,Region,True
DNK.5_1,DNK,Syddanmark,Region,True
EST.1_1,EST,Harju,County,True
EST.2_1,EST,Hiiu,County,True
EST.3_1,EST,Ida-Viru,County,True
EST.4_1,EST,Järva,County,True
EST.5_1,EST,Jõgeva,County,True
EST.7_1,EST,Lääne,County,True
EST.6_1,EST,Lääne-Viru,County,True
EST.8_1,EST,Pärnu,County,True
EST.9_1,EST,Peipsi,Water body,True
EST.10_1,EST,Põlva,County,True
EST.11_1,EST,Rapla,County,True
EST.12_1,EST,Saare,County,True
EST.13_1,EST,Tartu,County,True
EST.14_1,EST,Valga,County,True
EST.15_1,EST,Viljandi,County,True
EST.16_1,EST,Võru,County,True
FIN.1_1,FIN,Eastern Finland,Province,True
FIN.2_1,FIN,Lapland,Province,True
FIN.3_1,FIN,Oulu,Province,True
FIN.4_1,FIN,Southern Finland,Province,True
FIN.5_1,FIN,Western Finland,Province,True
FRA.1_1,FRA,Auvergne-Rhône-Alpes,Region,True
FRA.2_1,FRA,Bourgogne-Franche-Comté,Region,True
FRA.3_1,FRA,Bretagne,Region,True
FRA.4_1,FRA,Centre-Val de Loire,Region,True
FRA.5_1,FRA,Corse,Region,True
FRA.6_1,FRA,Grand Est,Region,True
FRA.7_1,FRA,Hauts-de-France,Region,True
FRA.8_1,FRA,Île-de-France,Region,True
FRA.9_1,FRA,Normandie,Region,True
FRA.10_1,FRA,Nouvelle-Aquitaine,Region,True
FRA.11_1,FRA,Occitanie,Region,True
FRA.12_1,FRA,Pays de la Loire,Region,True
FRA.13_1,FRA,Provence-Alpes-Côte d'Azur,Region,True
DEU.1_1,DEU,Baden-Württemberg,State,True
DEU.2_1,DEU,Bayern,,True
DEU.3_1,DEU,Berlin,State,True
DEU.4_1,DEU,Brandenburg,State,True
DEU.5_1,DEU,Bremen,State,True
DEU.6_1,DEU,Hamburg,State,True
DEU.7_1,DEU,Hessen,State,True
DEU.8_1,DEU,Mecklenburg-Vorpommern,State,True
DEU.9_1,DEU,Niedersachsen,State,True
DEU.10_1,DEU,Nordrhein-Westfalen,State,True
DEU.11_1,DEU,Rheinland-Pfalz,State,True
DEU.12_1,DEU,Saarland,State,True
DEU.14_1,DEU,Sachsen,State,True
DEU.13_1,DEU,Sachsen-Anhalt,State,True
DEU.15_1,DEU,Schleswig-Holstein,State,True
DEU.16_1,DEU,Thüringen,State,True
GRC.1_1,GRC,Aegean,Decentralized administration,True
GRC.2_1,GRC,Athos,Decentralized administration,True
GRC.3_1,GRC,Attica,Decentralized administration,True
GRC.4_1,GRC,Crete,Decentralized administration,True
GRC.5_1,GRC,Epirus and Western Macedonia,Decentralized administration,True
GRC.6_1,GRC,Macedonia and Thrace,Decentralized administration,True
GRC.7_1,GRC,"Peloponnese, Western Greece and the Ionian Islands",Decentralized administration,True
GRC.8_1,GRC,Thessaly and Central Greece,Decentralized administration,True
HUN.1_1,HUN,Bács-Kiskun,County,True
HUN.2_1,HUN,Baranya,County,True
HUN.3_1,HUN,Békés,County,True
HUN.4_1,HUN,Borsod-Abaúj-Zemplén,County,True
HUN.5_1,HUN,Budapest,Capital City,True
HUN.6_1,HUN,Csongrád,County,True
HUN.7_1,HUN,Fejér,County,True
HUN.8_1,HUN,Gyor-Moson-Sopron,County,True
HUN.9_1,HUN,Hajdú-Bihar,County,True
HUN.10_1,HUN,Heves,County,True
