country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,id,Comment
AT,AT124,AT124,AT124,AT124,AUT_3,
AT,AT125,AT125,AT125,AT125,AUT_3,
AT,AT126,AT126,AT126,AT126,AUT_3,
AT,AT127,AT127,AT127,AT127,AUT_3,
AT,AT130,AT130,AT130,AT130,AUT_3,
AT,AT211,AT211,AT211,AT211,AUT_1,
AT,AT213,AT213,AT213,AT213,AUT_2,
AT,AT221,AT221,AT221,AT221,AUT_2,
AT,AT222,AT222,AT222,AT222,AUT_2,
AT,AT223,AT223,AT223,AT223,AUT_2,
AT,AT224,AT224,AT224,AT224,AUT_2,
AT,AT225,AT225,AT225,AT225,AUT_2,
AT,AT226,AT226,AT226,AT226,AUT_2,
AT,AT123,AT123,AT123,AT123,AUT_3,
AT,AT311,AT311,AT311,AT311,AUT_2,
AT,AT313,AT313,AT313,AT313,AUT_2,
AT,AT314,AT314,AT314,AT314,AUT_2,
AT,AT315,AT315,AT315,AT315,AUT_2,
AT,AT321,AT321,AT321,AT321,AUT_1,
AT,AT322,AT322,AT322,AT322,AUT_1,
AT,AT323,AT323,AT323,AT323,AUT_1,
AT,AT331,AT331,AT331,AT331,AUT_1,
AT,AT332,AT332,AT332,AT332,AUT_1,
AT,AT333,AT333,AT333,AT333,AUT_1,
AT,AT334,AT334,AT334,AT334,AUT_1,
AT,AT335,AT335,AT335,AT335,AUT_1,
AT,AT341,AT341,AT341,AT341,AUT_1,
AT,AT342,AT342,AT342,AT342,AUT_1,
AT,AT312,AT312,AT312,AT312,AUT_2,
AT,AT122,AT122,AT122,AT122,AUT_3,
AT,AT212,AT212,AT212,AT212,AUT_1,
AT,AT113,AT113,AT113,AT113,AUT_3,
AT,AT111,AT111,AT111,AT111,AUT_3,
AT,AT121,AT121,AT121,AT121,AUT_3,
AT,AT112,AT112,AT112,AT112,AUT_3,
CH,CH053,CH053,CH053,CH053,CHE_1,
CH,CH011,CH011,CH011,CH011,CHE_1,
CH,CH012,CH012,CH012,CH012,CHE_2,
CH,CH013,CH013,CH013,CH013,CHE_1,
CH,CH021,CH021,CH021,CH021,CHE_1,
CH,CH022,CH022,CH022,CH022,CHE_1,
CH,CH023,CH023,CH023,CH023,CHE_1,
CH,CH031,CH031,CH031,CH031,CHE_1,
CH,CH032,CH032,CH032,CH032,CHE_1,
CH,CH033,CH033,CH033,CH033,CHE_1,
CH,CH040,CH040,CH040,CH040,CHE_1,
CH,CH051,CH051,CH051,CH051,CHE_1,
CH,CH052,CH052,CH052,CH052,CHE_1,
CH,CH024,CH024,CH024,CH024,CHE_1,
CH,CH025,CH025,CH025,CH025,CHE_1,
CH,CH055,CH055,CH055,CH055,CHE_1,
CH,CH070,CH070,CH070,CH070,CHE_2,
CH,CH056,CH056,CH056,CH056,CHE_2,
CH,CH057,CH057,CH057,CH057,CHE_1,
CH,CH061,CH061,CH061,CH061,CHE_1,
CH,CH054,CH054,CH054,CH054,CHE_1,
CH,CH062,CH062,CH062,CH062,CHE_2,
CH,CH063,CH063,CH063,CH063,CHE_1,
CH,CH064,CH064,CH064,CH064,CHE_1,
CH,CH065,CH065,CH065,CH065,CHE_1,
CH,CH066,CH066,CH066,CH066,CHE_1,
CZ,CZ053,CZ053,CZ053,CZ053,CZE_2,
CZ,CZ010,CZ010,CZ010,CZ010,CZE_1,
CZ,CZ020,CZ020,CZ020,CZ020,CZE_1,
CZ,CZ031,CZ031,CZ031,CZ031,CZE_1,
CZ,CZ032,CZ032,CZ032,CZ032,CZE_1,
CZ,CZ041,CZ041,CZ041,CZ041,CZE_1,
CZ,CZ042,CZ042,CZ042,CZ042,CZE_1,
CZ,CZ051,CZ051,CZ051,CZ051,CZE_1,
CZ,CZ080,CZ080,CZ080,CZ080,CZE_2,
CZ,CZ072,CZ072,CZ072,CZ072,CZE_2,
CZ,CZ071,CZ071,CZ071,CZ071,CZE_2,
CZ,CZ063,CZ063,CZ063,CZ063,CZE_2,
CZ,CZ064,CZ064,CZ064,CZ064,CZE_2,
CZ,CZ052,CZ052,CZ052,CZ052,CZE_1,
DE,DE942,DE942,DE942,DE942,DEU_1,
DE,DEA55,DEA55,DEA55,DEA55,DEU_3,
DE,DEA54,DEA54,DEA54,DEA54,DEU_3,
DE,DEA53,DEA53,DEA53,DEA53,DEU_3,
DE,DEA52,DEA52,DEA52,DEA52,DEU_3,
DE,DEA51,DEA51,DEA51,DEA51,DEU_3,
DE,DEA47,DEA47,DEA47,DEA47,DEU_3,
DE,DEA46,DEA46,DEA46,DEA46,DEU_3,
DE,DEA45,DEA45,DEA45,DEA45,DEU_3,
DE,DEA44,DEA44,DEA44,DEA44,DEU_3,
DE,DEA43,DEA43,DEA43,DEA43,DEU_3,
DE,DEA42,DEA42,DEA42,DEA42,DEU_3,
DE,DEA56,DEA56,DEA56,DEA56,DEU_3,
DE,DEA41,DEA41,DEA41,DEA41,DEU_3,
DE,DEA37,DEA37,DEA37,DEA37,DEU_3,
DE,DEA36,DEA36,DEA36,DEA36,DEU_3,
DE,DEA35,DEA35,DEA35,DEA35,DEU_3,
DE,DEA34,DEA34,DEA34,DEA34,DEU_3,
DE,DEA33,DEA33,DEA33,DEA33,DEU_3,
DE,DEA32,DEA32,DEA32,DEA32,DEU_3,
DE,DEA31,DEA31,DEA31,DEA31,DEU_3,
DE,,DEA2D,DEA2D,DEA2D,DEU_3,
DE,DEA2C,DEA2C,DEA2C,DEA2C,DEU_3,
DE,DEA2B,DEA2B,DEA2B,DEA2B,DEU_3,
DE,DEA2A,DEA2A,DEA2A,DEA2A,DEU_3,
DE,DEA38,DEA38,DEA38,DEA38,DEU_3,
DE,DEA29,DEA29,DEA29,DEA29,DEU_3,
DE,DEA57,DEA57,DEA57,DEA57,DEU_3,
DE,DEA59,DEA59,DEA59,DEA59,DEU_3,
DE,DEB35,DEB35,DEB35,DEB35,DEU_5,
DE,DEB34,DEB34,DEB34,DEB34,DEU_5,
DE,DEB33,DEB33,DEB33,DEB33,DEU_5,
DE,DEB32,DEB32,DEB32,DEB32,DEU_5,
DE,DEB31,DEB31,DEB31,DEB31,DEU_5,
DE,DEB25,DEB25,DEB25,DEB25,DEU_5,
DE,DEB24,DEB24,DEB24,DEB24,DEU_5,
DE,DEB23,DEB23,DEB23,DEB23,DEU_5,
DE,DEB22,DEB22,DEB22,DEB22,DEU_5,
DE,DEB21,DEB21,DEB21,DEB21,DEU_5,
DE,DEB1B,DEB1B,DEB1B,DEB1B,DEU_5,
DE,DEA58,DEA58,DEA58,DEA58,DEU_3,
DE,DEB1A,DEB1A,DEB1A,DEB1A,DEU_5,
DE,DEB18,DEB18,DEB18,DEB18,DEU_5,
DE,DEB17,DEB17,DEB17,DEB17,DEU_5,
DE,DEB16,DEB16,DEB16,DEB1C,DEU_5,
DE,DEB15,DEB15,DEB15,DEB15,DEU_5,
DE,DEB14,DEB14,DEB14,DEB14,DEU_5,
DE,DEB13,DEB13,DEB13,DEB13,DEU_5,
DE,DEB12,DEB12,DEB12,DEB12,DEU_5,
DE,DEB11,DEB11,DEB11,DEB11,DEU_5,
DE,DEA5C,DEA5C,DEA5C,DEA5C,DEU_3,
DE,DEA5B,DEA5B,DEA5B,DEA5B,DEU_3,
DE,DEA5A,DEA5A,DEA5A,DEA5A,DEU_3,
DE,DEB19,DEB19,DEB19,DEB1D,DEU_5,
DE,DE943,DE943,DE943,DE943,DEU_1,
DE,DEA28,DEA28,DEA28,DEA28,DEU_3,
DE,DEA26,DEA26,DEA26,DEA26,DEU_3,
DE,DE947,DE947,DE947,DE947,DEU_1,
DE,DE946,DE946,DE946,DE946,DEU_1,
DE,DE944,DE944,DE944,DE944,DEU_1,
DE,DE91B,DE91B,DE91B,DE91B,DEU_1,
DE,DE922,DE922,DE922,DE922,DEU_1,
DE,DE923,DE923,DE923,DE923,DEU_1,
DE,DE925,DE925,DE925,DE925,DEU_1,
DE,DE926,DE926,DE926,DE926,DEU_1,
DE,DE927,DE927,DE927,DE927,DEU_1,
DE,DEB36,DEB36,DEB36,DEB36,DEU_5,
DE,DE928,DE928,DE928,DE928,DEU_1,
DE,DE948,DE948,DE948,DE948,DEU_1,
DE,DE929,DE929,DE929,DE929,DEU_1,
DE,DE932,DE932,DE932,DE932,DEU_1,
DE,DE933,DE933,DE933,DE933,DEU_1,
DE,DE934,DE934,DE934,DE934,DEU_1,
DE,DE935,DE935,DE935,DE935,DEU_1,
DE,DE936,DE936,DE936,DE936,DEU_1,
DE,DE937,DE937,DE937,DE937,DEU_1,
DE,DE938,DE938,DE938,DE938,DEU_1,
DE,DE939,DE939,DE939,DE939,DEU_1,
DE,DE93A,DE93A,DE93A,DE93A,DEU_1,
DE,DE93B,DE93B,DE93B,DE93B,DEU_1,
DE,DE941,DE941,DE941,DE941,DEU_1,
DE,DE931,DE931,DE931,DE931,DEU_1,
DE,DEA27,DEA27,DEA27,DEA27,DEU_3,
DE,DE949,DE949,DE949,DE949,DEU_1,
DE,DE94B,DE94B,DE94B,DE94B,DEU_1,
DE,DEA24,DEA24,DEA24,DEA24,DEU_3,
DE,DEA23,DEA23,DEA23,DEA23,DEU_3,
DE,DEA22,DEA22,DEA22,DEA22,DEU_3,
DE,DEA1F,DEA1F,DEA1F,DEA1F,DEU_3,
DE,DEA1E,DEA1E,DEA1E,DEA1E,DEU_3,
DE,DEA1D,DEA1D,DEA1D,DEA1D,DEU_3,
DE,DEA1C,DEA1C,DEA1C,DEA1C,DEU_3,
DE,DEA1B,DEA1B,DEA1B,DEA1B,DEU_3,
DE,DEA1A,DEA1A,DEA1A,DEA1A,DEU_3,
DE,DEA19,DEA19,DEA19,DEA19,DEU_3,
DE,DEA18,DEA18,DEA18,DEA18,DEU_3,
DE,DE94A,DE94A,DE94A,DE94A,DEU_1,
DE,DEA17,DEA17,DEA17,DEA17,DEU_3,
DE,DEA15,DEA15,DEA15,DEA15,DEU_3,
DE,DEA14,DEA14,DEA14,DEA14,DEU_3,
DE,DEA13,DEA13,DEA13,DEA13,DEU_3,
DE,DEA12,DEA12,DEA12,DEA12,DEU_3,
DE,DEA11,DEA11,DEA11,DEA11,DEU_3,
DE,DE94H,DE94H,DE94H,DE94H,DEU_1,
DE,DE94G,DE94G,DE94G,DE94G,DEU_1,
DE,DE94F,DE94F,DE94F,DE94F,DEU_1,
DE,DE94E,DE94E,DE94E,DE94E,DEU_1,
DE,DE94D,DE94D,DE94D,DE94D,DEU_1,
DE,DE94C,DE94C,DE94C,DE94C,DEU_1,
DE,DEA16,DEA16,DEA16,DEA16,DEU_3,
DE,DEB37,DEB37,DEB37,DEB37,DEU_5,
DE,DEE08,DEE08,DEE08,DEE08,DEU_4,
DE,DEB39,DEB39,DEB39,DEB39,DEU_5,
DE,DEG0N,DEG0N,DEG0N,DEG0N,DEU_4,
DE,DEG0M,DEG0M,DEG0M,DEG0M,DEU_4,
DE,DEG0L,DEG0L,DEG0L,DEG0L,DEU_4,
DE,DEG0K,DEG0K,DEG0K,DEG0K,DEU_4,
DE,DEG0J,DEG0J,DEG0J,DEG0J,DEU_4,
DE,DEG0I,DEG0I,DEG0I,DEG0I,DEU_4,
DE,DEG0H,DEG0H,DEG0H,DEG0H,DEU_4,
DE,DEG0G,DEG0G,DEG0G,DEG0G,DEU_4,
DE,DEG0F,DEG0F,DEG0F,DEG0F,DEU_4,
DE,DEG0E,DEG0E,DEG0E,DEG0E,DEU_4,
DE,DEG0D,DEG0D,DEG0D,DEG0D,DEU_4,
DE,DEG0P,DEG0P,DEG0P,DEG0P,DEU_4,
DE,DEG0C,DEG0C,DEG0C,DEG0C,DEU_4,
DE,DEG0A,DEG0A,DEG0A,DEG0A,DEU_4,
DE,DEG09,DEG09,DEG09,DEG09,DEU_4,
DE,DEG07,DEG07,DEG07,DEG07,DEU_4,
DE,DEG06,DEG06,DEG06,DEG06,DEU_4,
DE,DEG05,DEG05,DEG05,DEG05,DEU_4,
DE,DEG04,DEG04,DEG04,DEG04,DEU_4,
DE,DEG03,DEG03,DEG03,DEG03,DEU_4,
DE,DEG02,DEG02,DEG02,DEG02,DEU_4,
DE,DEG01,DEG01,DEG01,DEG01,DEU_4,
DE,DEF0F,DEF0F,DEF0F,DEF0F,DEU_1,
DE,DEF0E,DEF0E,DEF0E,DEF0E,DEU_1,
DE,DEG0B,DEG0B,DEG0B,DEG0B,DEU_4,
DE,,,,DE91C,DEU_1,
DE,DED1A,,,,DEU_4,
DE,DED19,,,,DEU_4,
DE,DE801,DE801,,,DEU_2,
DE,DE802,DE802,,,DEU_2,
DE,DE805,DE805,,,DEU_2,
DE,DE806,DE806,,,DEU_2,
DE,DE807,DE807,,,DEU_2,
DE,DE808,DE808,,,DEU_2,
DE,DE809,DE809,,,DEU_2,
DE,DE80A,DE80A,,,DEU_2,
DE,DE80B,DE80B,,,DEU_2,
DE,DE80C,DE80C,,,DEU_2,
