country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,Source,id,Comment
AL,,,,,GADM,ALB_1,Lost from original spreasheet but we know it's just the country as a whole
AT,AT124,AT124,AT124,AT124,NUTS3,AUT_3,
AT,AT125,AT125,AT125,AT125,NUTS3,AUT_3,
AT,AT126,AT126,AT126,AT126,NUTS3,AUT_3,
AT,AT127,AT127,AT127,AT127,NUTS3,AUT_3,
AT,AT130,AT130,AT130,AT130,NUTS3,AUT_3,
AT,AT211,AT211,AT211,AT211,NUTS3,AUT_1,
AT,AT213,AT213,AT213,AT213,NUTS3,AUT_2,
AT,AT221,AT221,AT221,AT221,NUTS3,AUT_2,
AT,AT222,AT222,AT222,AT222,NUTS3,AUT_2,
AT,AT223,AT223,AT223,AT223,NUTS3,AUT_2,
AT,AT224,AT224,AT224,AT224,NUTS3,AUT_2,
AT,AT225,AT225,AT225,AT225,NUTS3,AUT_2,
AT,AT226,AT226,AT226,AT226,NUTS3,AUT_2,
AT,AT123,AT123,AT123,AT123,NUTS3,AUT_3,
AT,AT311,AT311,AT311,AT311,NUTS3,AUT_2,
AT,AT313,AT313,AT313,AT313,NUTS3,AUT_2,
AT,AT314,AT314,AT314,AT314,NUTS3,AUT_2,
AT,AT315,AT315,AT315,AT315,NUTS3,AUT_2,
AT,AT321,AT321,AT321,AT321,NUTS3,AUT_1,
AT,AT322,AT322,AT322,AT322,NUTS3,AUT_1,
AT,AT323,AT323,AT323,AT323,NUTS3,AUT_1,
AT,AT331,AT331,AT331,AT331,NUTS3,AUT_1,
AT,AT332,AT332,AT332,AT332,NUTS3,AUT_1,
AT,AT333,AT333,AT333,AT333,NUTS3,AUT_1,
AT,AT334,AT334,AT334,AT334,NUTS3,AUT_1,
AT,AT335,AT335,AT335,AT335,NUTS3,AUT_1,
AT,AT341,AT341,AT341,AT341,NUTS3,AUT_1,
AT,AT342,AT342,AT342,AT342,NUTS3,AUT_1,
AT,AT312,AT312,AT312,AT312,NUTS3,AUT_2,
AT,AT122,AT122,AT122,AT122,NUTS3,AUT_3,
AT,AT212,AT212,AT212,AT212,NUTS3,AUT_1,
AT,AT113,AT113,AT113,AT113,NUTS3,AUT_3,
AT,AT111,AT111,AT111,AT111,NUTS3,AUT_3,
AT,AT121,AT121,AT121,AT121,NUTS3,AUT_3,
AT,AT112,AT112,AT112,AT112,NUTS3,AUT_3,
