Year,2010,2030,2050
AL,2.6,2.2,1.8
AT,6.1,5.1,4.2
BE,6.2,5.2,4.3
BG,3.2,2.7,2.2
BH,2.6,2.1,1.7
CH,6.1,5.1,4.3
CY,NaN,NaN,NaN
CZ,5.8,4.9,4
DE,6.2,5.2,4.3
DK,5.1,4.4,3.7
EE,3.3,2.8,2.3
ES,6.4,5.4,4.5
FI,7.1,6,4.9
FR,5.6,4.7,3.9
GR,5.5,4.7,3.8
HR,3,2.6,2.1
HU,2.8,2.4,2
IE,5.7,4.8,4
IS,NaN,NaN,NaN
IT,5.7,4.8,4
LT,3.5,3,2.5
LU,6.3,5.3,4.4
LV,3.3,2.8,2.3
ME,1.9,1.6,1.3
MK,2.3,1.9,1.5
MT,NaN,NaN,NaN
NL,4.2,3.6,3
NO,5.7,4.8,4
PL,3.5,3,2.5
PT,6.5,5.5,4.5
RO,2.8,2.4,2
RS,1.9,1.6,1.3
SE,7.4,6.2,5.1
SI,3.2,2.7,2.3
SK,3,2.5,2.1
UK,7.4,7.4,6
