,2010,2030,2050
AL,2.8,2.4,2.1
AT,3.5,3,2.6
BE,3.5,3.1,2.7
BG,3,2.6,2.2
BH,2.9,2.5,2.2
CH,3.5,3,2.6
CY,NaN,NaN,NaN
CZ,3.3,2.9,2.5
DE,3.5,3.1,2.6
DK,3.1,2.8,2.4
EE,3.1,2.7,2.7
ES,3.7,3.2,2.7
FI,3.9,3.4,2.9
FR,3.3,2.9,2.5
GR,3.3,2.8,2.4
HR,3.1,2.7,2.3
HU,2.7,2.3,2
IE,3.3,2.8,2.5
IS,NaN,NaN,NaN
IT,3.3,2.9,2.5
LT,3.2,2.8,2.4
LU,NaN,3.1,2.6
LV,3.1,2.7,2.3
ME,2.8,2.4,2.1
MK,2.8,2.4,2.1
MT,NaN,2.8,2.4
NL,3.9,3.4,2.9
NO,4.1,3.5,3
PL,3.3,2.9,2.5
PT,3.6,3.1,2.7
RO,2.8,2.4,2.1
RS,2.8,2.4,2.1
SE,4.1,3.5,3
SI,3,2.6,2.3
SK,2.9,2.5,2.2
UK,3.2,2.8,2.4
