Year,2010,2030,2050
AL,161.4,125.6,89.9
AT,173,163.8,117.9
BE,57,50.3,33.9
BG,0,0.1,0.1
BH,NaN,NaN,NaN
CH,173,163.8,117.9
CY,5.5,6,4.3
CZ,0.3,0.3,0.2
DE,68,66.2,50.2
DK,3.7,4,3.3
EE,6.6,4.8,3.2
ES,0.2,0.2,0.2
FI,53.1,45.6,31.1
FR,77.2,75,55.4
GR,84.4,84.1,61.3
HR,32,31.4,24.6
HU,3.8,3.8,3
IE,42.9,36.8,26.8
IS,2.8,3.5,3.4
IT,84.4,84.1,61.3
LT,60.1,44.6,28.9
LU,0.2,0.7,0.5
LV,0.2,0.2,0.1
ME,NaN,NaN,NaN
MK,98.1,66.8,31.5
MT,0,0,0
NL,58.7,54.2,38
NO,4.1,4.1,2.9
PL,2.5,2.9,2.4
PT,4.5,4.7,4
RO,161.4,125.6,89.9
RS,161.4,125.6,89.9
SE,2.8,3.5,3.4
SI,147.9,134.7,100.8
SK,19.8,18.3,15.2
UK,40.3,39.9,28.2
