,2010,2030,2050
AL,2.6,3.4,3.5
AT,7.5,6.1,5.1
BE,4.7,3.9,3.5
BG,3,2.6,2.1
BH,2.9,3.3,3.1
CH,7.5,6.1,5.1
CY,4.1,4.2,4
CZ,4.9,4,3.3
DE,4.7,4.2,4.1
DK,5.4,4.4,3.9
EE,3.1,2.6,2.4
ES,3.8,3.7,3.3
FI,5.4,4.4,3.6
FR,3,2.6,2.3
GR,4.8,4.5,4
HR,3.1,2.9,2.7
HU,3.8,3.3,2.7
IE,2.1,2.1,2.6
IS,NaN,NaN,NaN
IT,3.8,3.8,3.3
LT,3.2,2.6,2.1
LU,5.5,5.3,4.9
LV,3.2,2.6,2.2
ME,3.6,4.2,3.9
MK,3.2,3.3,3.1
MT,2.3,3.7,3.2
NL,4.4,3.7,3.5
NO,5.1,4.1,3.5
PL,3.1,2.6,2.2
PT,3.6,3.3,3.3
RO,3.1,2.7,2.3
RS,3.6,3.5,3
SE,5.1,4.1,3.5
SI,3.1,3.5,3.3
SK,5.2,4.3,3.6
UK,5.4,4.3,3.5
