Year,2010,2030,2050
AL,3.6,3,2.4
AT,10.4,8.7,7.1
BE,10.6,8.9,7.3
BG,4.1,3.5,2.9
BH,3.6,3,2.4
CH,10.4,8.7,7.1
CY,NaN,NaN,NaN
CZ,10,8.4,6.8
DE,9.9,8.3,6.8
DK,8.3,7,5.8
EE,4.3,3.6,3
ES,11.1,9.3,7.6
FI,12.1,10.1,8.3
FR,9.9,8.3,6.8
GR,9.7,8.1,6.6
HR,4,3.3,2.8
HU,3.6,3,2.5
IE,9.9,8.3,6.8
IS,NaN,NaN,NaN
IT,9.8,8.2,6.8
LT,4.5,3.8,3.1
LU,10.6,8.8,7.3
LV,4.3,3.6,3
ME,NaN,NaN,NaN
MK,3.6,3,2.4
MT,NaN,NaN,NaN
NL,12,10.1,8.3
NO,9.6,8.1,6.6
PL,4.7,3.9,3.2
PT,11.2,9.3,7.6
RO,3.7,3.1,2.6
RS,NaN,NaN,NaN
SE,12.5,10.5,8.6
SI,4.2,3.5,2.9
SK,4,3.3,2.8
UK,13.4,7.7,6.3
