Year,2010,2030,2050
AL,1.9,1.6,1.3
AT,5,4.2,3.5
BE,5.1,4.3,3.5
BG,4.2,3.5,2.9
BH,1.9,1.6,1.3
CH,5,4.2,3.5
CY,NaN,NaN,NaN
CZ,4.7,4,3.3
DE,5,4.2,3.5
DK,4.3,3.7,3.1
EE,4.3,3.6,3
ES,5.3,4.4,3.7
FI,5.7,4.8,4
FR,4.7,4,3.3
GR,4.6,3.9,3.2
HR,2.2,1.8,1.5
HU,3.6,3,2.5
IE,4.6,3.9,3.2
IS,NaN,NaN,NaN
IT,4.7,4,3.3
LT,4.6,3.9,3.2
LU,5,4.3,3.5
LV,4.3,3.6,3
ME,1.9,1.6,1.3
MK,1.9,1.6,1.3
MT,NaN,NaN,NaN
NL,5.7,4.8,4
NO,4.6,3.9,3.3
PL,4.7,4,3.3
PT,5.3,4.4,3.6
RO,3.8,3.2,2.6
RS,1.9,1.6,1.3
SE,6,5,4.2
SI,4.2,3.5,2.9
SK,4,3.4,2.8
UK,6.4,3.7,3.1
