Year,2010,2030,2050
AL,1.7,1.5,1.3
AT,2.5,2.2,1.8
BE,2.5,2.2,1.9
BG,1.8,1.6,1.3
BH,1.7,1.5,1.3
CH,2.5,2.2,1.8
CY,NaN,NaN,NaN
CZ,2,1.7,1.4
DE,2.5,2.2,1.8
DK,2.5,2.2,1.9
EE,1.9,1.7,1.7
ES,2.7,2.3,1.9
FI,2,1.7,1.5
FR,2.4,2,1.7
GR,2.2,1.9,1.6
HR,NaN,1.8,1.5
HU,2.5,2.1,1.8
IE,2.7,2.3,1.9
IS,NaN,NaN,NaN
IT,2.8,2.4,2.1
LT,1.9,1.6,1.4
LU,2.5,2.2,1.8
LV,1.8,1.6,1.3
ME,1.7,1.5,1.3
MK,1.7,1.5,1.3
MT,NaN,NaN,NaN
NL,2.5,2.2,1.8
NO,2.1,1.8,1.6
PL,1.7,1.5,1.3
PT,2.4,2.1,1.7
RO,1.7,1.5,1.3
RS,1.7,1.5,1.3
SE,2,1.8,1.5
SI,1.9,1.6,1.4
SK,2.4,2,1.7
UK,2.2,1.8,1.5
