Year,2010,2030,2050
AL,1.9,1.7,1.4
AT,2.8,2.4,2
BE,2.3,2,1.7
BG,2.7,2.3,1.9
BH,1.9,1.7,1.4
CH,2.8,2.4,2
CY,NaN,NaN,NaN
CZ,3,2.5,2.1
DE,3.5,3,2.5
DK,3,2.6,2.2
EE,2.1,1.8,NaN
ES,3,2.6,2.2
FI,2.6,2.2,1.9
FR,3.1,2.7,2.2
GR,2.8,2.4,2
HR,NaN,1.7,1.3
HU,3.1,2.6,2.2
IE,4.2,3.5,2.9
IS,NaN,NaN,NaN
IT,3.3,2.8,2.4
LT,2,1.7,1.5
LU,2.9,2.4,2.1
LV,1.8,1.6,1.3
ME,1.9,1.7,1.4
MK,1.9,1.7,1.4
MT,NaN,NaN,NaN
NL,3,2.6,2.2
NO,2.9,2.7,2.3
PL,3,2.5,2.1
PT,2.9,2.4,2
RO,1.9,1.7,1.4
RS,1.9,1.7,1.4
SE,2.8,2.4,2.1
SI,2.5,2.1,1.8
SK,2.5,2.1,1.8
UK,2.3,1.8,1.6
