Year,2010,2030,2050
AL,6.5,6.8,5.5
AT,6.5,6.8,5.5
BE,6.5,6.8,5.5
BG,6.5,6.8,5.5
BH,NaN,NaN,NaN
CH,6.5,6.8,5.5
CY,6.5,6.8,5.5
CZ,6.5,6.8,5.5
DE,6.5,6.8,5.5
DK,6.5,6.8,5.5
EE,6.5,6.8,5.5
ES,6.5,6.8,5.5
FI,6.5,6.8,5.5
FR,6.5,6.8,5.5
GR,0,0,0
HR,6.5,6.8,5.5
HU,6.5,6.8,5.5
IE,6.5,6.8,5.5
IS,6.5,6.8,5.5
IT,6.5,6.8,5.5
LT,6.5,6.8,5.5
LU,6.5,6.8,5.5
LV,6.5,6.8,5.5
ME,NaN,NaN,NaN
MK,6.5,6.8,5.5
MT,6.5,6.8,5.5
NL,6.5,6.8,5.5
NO,6.5,6.8,5.5
PL,6.5,6.8,5.5
PT,6.5,6.8,5.5
RO,6.5,6.8,5.5
RS,6.5,6.8,5.5
SE,6.5,6.8,5.5
SI,6.5,6.8,5.5
SK,6.5,6.8,5.5
UK,6.5,6.8,5.5
