,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,7.6,3.6,2.4,2.4,1.2,7.6,6,4.8,4.8,4.8,7.6,14.9,14.4,14.5,14.7
AT,180.2,57,37.1,37.4,19.5,180.2,95,74.1,74.8,77.9,180.2,227,223.3,223.8,232.1
BE,37.1,11.1,7.4,7.8,4.1,37.1,18.5,14.8,15.5,16.3,37.1,42.4,42.1,44.6,47.5
BG,142.2,50.9,22.7,20.2,9.3,142.2,84.9,45.3,40.5,37.2,142.2,190.3,133.2,125.4,118.1
BH,14.9,4.5,3,3,1.5,14.9,7.5,6,6,6,14.9,36.9,36.9,36.9,36.9
CH,103.6,33.5,21.1,20.3,10.1,103.6,55.8,42.2,40.5,40.3,103.6,122.1,115.8,112.8,114
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,135.7,42.6,25.8,25.7,12.5,135.7,71,51.6,51.4,49.9,135.7,166.4,153.3,152.9,149.3
DE,785.2,237.4,150.1,140.3,75.8,785.2,395.6,300.2,280.7,303.3,785.2,905.5,862.7,814.5,877.4
DK,26.3,11.5,7.6,8.9,4.7,26.3,19.2,15.2,17.8,18.8,26.3,41.8,41.8,49.7,53.2
EE,82.7,24.9,15.8,14.9,7.5,82.7,41.5,31.5,29.8,29.9,82.7,103.2,98.2,93,93.3
ES,265.9,86.7,50.5,48.3,24,265.9,144.4,100.9,96.7,96,265.9,344.7,308,305.9,306.7
FI,358.6,115.6,74.5,63.1,34.7,358.6,192.6,149,126.2,138.6,358.6,463.6,447.6,394.5,432.9
FR,430.8,116.2,79.6,78.8,42,430.8,193.7,159.2,157.6,168.1,430.8,530,559,563.6,594.9
GR,18.1,5.4,3.9,4,2,18.1,9.1,7.8,8,8.1,18.1,37.3,38.6,39.2,39.4
HR,37,13.1,8.4,8,3.9,37,21.8,16.7,15.9,15.7,37,55.7,53.7,51.8,51.3
HU,91.2,33.5,22.4,24.6,12.8,91.2,55.9,44.9,49.2,51.3,91.2,138.6,136.3,149.3,156.9
IE,19.7,6.2,4.7,7.1,3.7,19.7,10.4,9.3,14.1,14.6,19.7,26.5,29.2,42.1,43.5
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,187.6,80.9,54,54.8,31.1,187.6,134.9,108,109.7,124.2,187.6,327.8,327.5,331.7,367.5
LT,69.5,20.8,14.6,14.2,7.1,69.5,34.7,29.2,28.3,28.4,69.5,84.9,88.5,86.7,88
LU,5.6,1.8,1.1,1,0.5,5.6,2.9,2.1,2,1.9,5.6,7,6.4,5.9,5.7
LV,105.3,35.3,24.8,26.4,13,105.3,58.8,49.7,52.7,51.9,105.3,140.4,149.1,158.3,156.2
ME,1,0.3,0.5,0.5,0.2,1,0.5,1,1,1,1,2.2,5.7,5.9,5.7
MK,0.1,1.6,1.1,1.1,0.5,0.1,2.7,2.2,2.2,2.2,0.1,14.3,14.3,14.3,14.3
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,9.3,3.6,2.5,3.1,1.7,9.3,6,5,6.3,6.9,9.3,14.3,15,18.7,20.4
NO,105.2,34.2,22.7,22,10.7,105.2,57.1,45.4,44,42.8,105.2,145.2,144.4,140.6,136.6
PL,430,137,85.9,91,44.8,430,228.4,171.7,182.1,179.4,430,534.5,499.7,532.5,531.6
PT,126.8,32,23.8,24.3,13.9,126.8,53.4,47.7,48.6,55.6,126.8,135.6,151.9,151.4,174.8
RO,230.9,91.7,61.8,62.9,32.7,230.9,152.8,123.6,125.8,130.9,230.9,355.7,355.4,363.3,379.1
RS,19.3,4.9,3.1,3,1.5,19.3,8.2,6.1,6,5.8,19.3,31.5,29.6,28.7,27.9
SE,484.1,149,99.8,98.4,45.3,484.1,248.4,199.5,196.9,181.1,484.1,624.8,642.1,647,614.3
SI,71.7,27.6,18,17,8.2,71.7,46,36,34,32.7,71.7,104.8,103.1,97.9,95.6
SK,105.4,28.2,18.2,16.8,8,105.4,47,36.3,33.5,31.9,105.4,109.3,106.7,100,96.4
UK,93.3,14.3,9,9.4,4.9,93.3,23.8,18,18.7,19.4,93.3,56.5,54.6,58.2,61.6
