,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,4.2,1.5,1.3,1.3,0.6,4.2,2.4,2.5,2.5,2.5,4.2,4.8,6.3,6.3,6.3
AT,7.5,2.7,2.3,1.5,0.8,7.5,4.4,4.6,3,3,7.5,8.9,11.6,7.5,7.5
BE,4.1,4.3,2.9,2.9,1.4,4.1,7.2,5.7,5.7,5.7,4.1,14.3,14.3,14.3,14.3
BG,8.9,2.9,2.5,1.8,0.9,8.9,4.8,5.1,3.6,3.6,8.9,9.6,12.7,8.9,8.9
BH,7.8,2.7,2.3,2.3,1.2,7.8,4.4,4.6,4.6,4.6,7.8,8.9,11.5,11.5,11.5
CH,3.7,1.3,1.1,0.7,0.4,3.7,2.2,2.3,1.5,1.5,3.7,4.4,5.7,3.7,3.7
CY,0.7,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,17.7,6.1,5.3,3.5,1.8,17.7,10.2,10.5,7.1,7.1,17.7,20.5,26.3,17.7,17.7
DE,33.5,11.3,9.9,6.7,3.3,33.5,18.8,19.9,13.4,13.4,33.5,37.6,49.7,33.5,33.5
DK,4.8,1.6,1.5,1.5,0.7,4.8,2.7,3,3,3,4.8,5.5,7.4,7.4,7.4
EE,2.7,2.9,1.1,0.0,0.0,2.7,4.9,2.2,0.0,0.0,2.7,9.7,5.5,0.0,0.0
ES,43,14.6,12.7,12.7,6.3,43,24.3,25.4,25.4,25.4,43,48.5,63.5,63.5,63.5
FI,14.3,4.9,4.3,4.3,2.2,14.3,8.2,8.6,8.6,8.6,14.3,16.4,21.6,21.6,21.6
FR,86.1,29.1,25.5,25.5,12.8,86.1,48.5,51,51,51,86.1,97,127.6,127.6,127.6
GR,10.2,3.5,3.1,3.1,1.6,10.2,5.8,6.2,6.2,6.2,10.2,11.6,15.6,15.6,15.6
HR,3.2,1.1,1,1,0.5,3.2,1.8,2,2,2,3.2,3.6,4.9,4.9,4.9
HU,9.6,3.3,2.9,2.9,1.4,9.6,5.5,5.8,5.8,5.8,9.6,10.9,14.4,14.4,14.4
IE,7.5,2.5,2.2,2.2,1.1,7.5,4.1,4.4,4.4,4.4,7.5,8.2,11,11,11
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,5.5,7.1,7.1,7.1
IT,22.5,7.6,6.8,6.8,3.4,22.5,12.6,13.7,13.7,13.7,22.5,25.3,34.1,34.1,34.1
LT,6.1,2,1.8,1.8,1,6.1,3.4,3.6,3.7,3.9,6.1,6.8,9.1,9.2,9.7
LU,0.0,0.0,0.1,0.1,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.3,0.3,0.3
LV,5.5,1.8,1.7,1.8,0.9,5.5,3.1,3.3,3.5,3.6,5.5,6.1,8.3,8.8,8.9
ME,2.1,0.7,0.6,0.6,0.3,2.1,1.2,1.3,1.3,1.3,2.1,2.4,3.1,3.1,3.1
MK,9.5,3.3,2.8,2.8,1.4,9.5,5.4,5.6,5.6,5.6,9.5,10.9,14.1,14.1,14.1
MT,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.1,0.1,0.1
NL,4.8,1.4,1.3,1.3,0.7,4.8,2.4,2.6,2.6,2.6,4.8,4.8,6.6,6.6,6.6
NO,43,14.7,12.7,12.7,6.4,43,24.5,25.4,25.4,25.4,43,49,63.6,63.5,63.6
PL,33.5,11.5,10,10,5,33.5,19.1,19.9,19.9,19.9,33.5,38.3,49.8,49.8,49.8
PT,9.6,3.3,2.8,2.8,1.4,9.6,5.5,5.6,5.6,5.6,9.6,10.9,13.9,13.9,13.9
RO,35.2,12.1,10.5,10.5,5.2,35.2,20.1,20.9,20.9,20.9,35.2,40.3,52.3,52.3,52.3
RS,13.4,4.6,4,4,2,13.4,7.7,7.9,7.9,7.9,13.4,15.3,19.9,19.9,19.9
SE,48.4,16.5,14.3,14.3,7.1,48.4,27.5,28.6,28.6,28.6,48.4,55.1,71.5,71.4,71.4
SI,1.4,0.4,0.3,0.3,0.2,1.4,0.7,0.7,0.7,0.7,1.4,1.4,1.7,1.7,1.7
SK,4.8,1.6,1.5,1.5,0.7,4.8,2.7,3,3,3,4.8,5.5,7.5,7.5,7.5
UK,24.6,8.4,7.3,7.3,3.6,24.6,14,14.5,14.5,14.5,24.6,28,36.3,36.3,36.3
