,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,1.8,0.8,0.8,0.8,0.8,1.8,1.8,1.8,1.8,1.8,1.8,2.8,2.8,2.8,2.8
AT,4.7,0.3,0.3,0.3,0.3,4.7,4.7,4.7,4.7,4.8,4.7,9.2,9.2,9.2,9.2
BE,38.8,10.8,10.8,10.9,10.9,38.8,38.5,38.6,38.6,38.7,38.8,66.3,66.3,66.4,66.4
BG,6.7,2.9,3.4,3.2,3.1,6.7,5.5,6,5.8,5.7,6.7,8.1,8.6,8.4,8.3
BH,1.6,0.8,0.8,0.8,0.8,1.6,1.6,1.6,1.6,1.6,1.6,2.4,2.4,2.5,2.5
CH,4.5,1.5,1.4,1.6,1.7,4.5,4.3,4.2,4.3,4.5,4.5,7.1,6.9,7.1,7.2
CY,3.9,2.9,3,3.2,3.4,3.9,4,4.1,4.3,4.5,3.9,5.1,5.3,5.4,5.6
CZ,56.3,41.9,37.7,36.2,34.7,56.3,49.3,45.1,43.6,42.1,56.3,56.7,52.5,51,49.6
DE,104,42.8,43.6,44.8,46,104,102.4,103.2,104.4,105.6,104,162,162.8,164,165.2
DK,43.7,31.4,31.7,31.5,31.3,43.7,43.3,43.6,43.4,43.3,43.7,55.2,55.5,55.4,55.2
EE,8.9,6.3,6.4,6.4,6.5,8.9,8.1,8.2,8.2,8.3,8.9,9.9,10,10.1,10.1
ES,89.6,65.1,67.9,71.5,75,89.6,99.8,102.6,106.2,109.7,89.6,134.5,137.3,140.8,144.4
FI,3.7,0.8,0.8,1,1.2,3.7,3.7,3.6,3.8,4,3.7,6.5,6.5,6.7,6.9
FR,259.8,56.2,56.2,56.1,55.9,259.8,258.7,258.6,258.5,258.4,259.8,461.1,461.1,461,460.8
GR,7.1,2.4,2.5,2.8,3.1,7.1,7,7.1,7.4,7.7,7.1,11.5,11.6,11.9,12.2
HR,3.3,2.1,2.3,2.3,2.4,3.3,3.3,3.3,3.3,3.3,3.3,4.4,4.3,4.2,4.1
HU,72.2,53.9,52.8,53.9,54.9,72.2,62.6,61.5,62.6,63.7,72.2,71.3,70.2,71.3,72.4
IE,18.1,3.9,4,4,4,18.1,18.2,18.4,18.4,18.4,18.1,32.5,32.7,32.7,32.7
IS,0.3,0.1,0,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5
IT,118.2,59.5,58.6,56.8,55.1,118.2,120,119.1,117.3,115.6,118.2,180.5,179.5,177.8,176.1
LT,10.9,11,12.6,13.9,15.2,10.9,12.7,14.3,15.6,16.9,10.9,14.3,15.9,17.2,18.5
LU,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3
LV,7.3,5.4,5.9,6.2,6.4,7.3,7.4,7.9,8.2,8.5,7.3,9.4,10,10.2,10.5
ME,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
MK,0.8,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,1.1,1.1,1.1,1.1
MT,7.3,0.0,0.0,0.0,0.0,7.3,0.4,0.4,0.4,0.4,7.3,0.8,0.8,0.8,0.8
NL,49.3,25.7,25.8,25.8,25.7,49.3,48.7,48.9,48.8,48.8,49.3,71.8,72,71.9,71.9
NO,3.3,1.1,1,0.1,0.1,3.3,3.2,3.1,3.2,3.3,3.3,5.3,5.3,5.4,5.5
PL,66.2,48.5,56.2,64.4,72.6,66.2,70.3,78,86.2,94.4,66.2,92,99.8,107.9,116.1
PT,21.7,10.6,11.2,11.9,12.6,21.7,21.6,22.1,22.9,23.6,21.7,32.6,33.1,33.8,34.6
RO,21.9,17,17.9,16.6,15.4,21.9,22.8,23.6,22.4,21.1,21.9,28.5,29.4,28.1,26.9
RS,10.5,8.8,9.1,9,9,10.5,10.5,10.5,10.5,10.5,10.5,12.1,11.8,11.9,11.9
SE,17.6,5.2,4.9,5.2,5.5,17.6,17.2,17,17.2,17.5,17.6,29.2,29,29.3,29.5
SI,1.5,0.8,0.9,0.8,0.8,1.5,1.5,1.5,1.5,1.5,1.5,2.2,2.2,2.2,2.2
SK,16.5,10.5,10.3,9.8,9.3,16.5,13.6,13.4,12.9,12.4,16.5,16.7,16.5,16,15.5
UK,160,66.8,68.5,70,71.5,160,157.1,158.8,160.3,161.8,160,247.4,249.1,250.6,252.1
