,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,0.7,0.7,0.8,0.8,0.8,1.1,1.2,1.4,1.5,0,1.2,1.4,1.6,1.8,0
AT,5.5,5.3,5.5,5.7,5.9,5.5,6.2,7.7,9,10.5,5.5,7.3,9.1,11,13.2
BE,23.6,22.8,24.6,26.8,29.2,23.6,26.7,34.7,43.3,53.8,23.6,32.1,41.7,54.4,68.2
BG,2,2.2,2.3,2.5,2.6,2,2.5,2.9,3.3,3.8,2,2.8,3.2,3.7,4.2
BH,1.3,1.3,1.4,1.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,17.2,17.3,18.7,20,21.2,17.2,20.2,24,28.1,31.9,17.2,23.5,28,33.5,38.8
CY,1.3,1.3,1.5,1.7,1.9,1.3,1.5,1.8,2.2,2.7,1.3,1.6,2,2.4,3
CZ,2.1,2.2,2.5,2.7,2.9,2.1,2.6,3.1,3.5,4,2.1,2.9,3.4,3.9,4.6
DE,101.9,89.7,85.7,80.9,76.4,101.9,104.9,114.7,123.1,131.7,101.9,125.1,136.8,152.5,168.9
DK,17.6,16.6,17.5,18.5,19.6,17.6,19.4,22.3,25.2,28.6,17.6,22.7,25.7,29.1,33.2
EE,1.6,1.8,2.2,2.4,2.6,1.6,2.2,2.7,3.1,3.6,1.6,2.6,3.2,3.8,4.6
ES,20.8,19.6,21.5,22,22.6,20.8,22.9,29.6,33.6,38.1,20.8,26.7,34.5,40.4,47.1
FI,8.1,8,8.6,9.3,10,8.1,9.4,11.8,14.5,17,8.1,11.2,14.1,18.1,22
FR,61.8,58.4,61.6,63.8,66.2,61.8,68.3,82.6,96.9,113.5,61.8,81.2,98.2,119.6,145.2
GR,2.3,2,2.1,2.2,2.3,2.3,2.3,2.7,3,3.4,2.3,2.6,3,3.4,3.9
HR,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2
HU,6.7,6.1,6.6,6.8,7,6.7,7.2,9,10.5,12.1,6.7,8.4,10.7,12.8,15.3
IE,1,1,1.3,1.5,1.7,1,1.2,1.7,2.1,2.6,1,1.4,1.9,2.4,3.1
IS,0.7,0.7,0.8,0.8,0.8,0.7,0.8,1,1.1,1.2,0.7,1,1.1,1.3,1.5
IT,24.1,22.2,23.6,24.5,25.5,24.1,26,32.3,37.2,42.8,24.1,30.2,37.6,44.6,52.7
LT,0.8,0.9,1,1,1.1,0.8,1,1.2,1.4,1.7,0.8,1.1,1.4,1.6,1.9
LU,0.8,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.2,0.8,0.1,0.1,0.2,0.2
LV,0.4,0.5,0.6,0.6,0.6,0.4,0.6,0.7,0.8,0.9,0.4,0.6,0.8,0.9,1
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK,0.4,0.4,0.5,0.7,0.9,0.4,0.5,0.7,1,1.3,0.4,0.6,0.8,1.1,1.6
MT,2.9,2.9,3.3,3.6,3.9,2.9,3.4,4.1,4.7,5.4,2.9,3.7,4.5,5.1,5.9
NL,38.2,36,36.5,36.9,37.3,38.2,42.1,50.3,58.5,67.9,38.2,50.9,60.7,73.8,89.4
NO,12,12.7,14.4,16.8,20,12,14.9,19,24.9,33.4,12,17.7,22.4,30.3,42.1
PL,14.4,16.5,18.4,19.4,20.3,14.4,19.3,24.2,28.3,33,14.4,22.3,28.1,33.8,40.5
PT,9.4,8.3,9,9.3,9.7,9.4,9.8,12.8,15,17.6,9.4,11.6,15.3,18.6,22.6
RO,5.8,6.1,6.4,6.6,6.7,5.8,7.1,8.2,9.1,10.2,5.8,8.1,9.3,10.5,11.8
RS,4.7,5.3,7,9.3,12.5,4.7,6.2,9.3,14,21.3,4.7,7.3,11,17.2,27.2
SE,20.6,20,21.1,22.1,23.1,20.6,23.4,27.1,30.9,34.7,20.6,27.3,31.6,36.8,42.2
SI,0.7,0.7,0.7,0.8,0.8,0.7,0.8,1,1.1,1.2,0.7,0.9,1.1,1.3,1.4
SK,2.3,2.4,2.9,2.9,3,2.3,2.9,3.9,4.5,5.1,2.3,3.3,4.6,5.4,6.3
UK,11.5,11.6,13.1,14.9,16.8,11.5,13.5,16.4,19.8,23.8,11.5,15,18.2,22,26.5
