,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,1.2,1.2,1.2,1.2,1.3,1.2,1.4,1.5,1.6,1.7,1.2,2.1,2.5,2.8,3.3
AT,21.8,15,15,14.9,14.8,21.8,21.4,22.2,22.8,23.3,21.8,27.5,29.6,31.2,32.8
BE,7.4,4.1,3.8,3.7,3.6,7.4,6.9,6.9,7,7.1,7.4,9.9,10,10.5,11
BG,27.3,21.2,18.9,16,13.3,27.3,31.2,30.1,27.8,25.6,27.3,42.6,44.3,43.3,42.4
BH,2.3,2,1.9,1.9,1.9,2.3,2.8,2.8,2.9,3.1,2.3,4.1,4.5,5.2,6.1
CH,2.9,1.7,1.6,1.7,1.7,4.4,3.8,3.6,3.7,3.8,2.9,3.5,3.3,3.5,3.7
CY,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.6,1.1,1.2,1.3,1.5
CZ,36.8,26,25.6,24.2,23,36.8,37.5,37.6,36.6,35.5,43.2,60.8,62.5,62.3,61.8
DE,202.3,145.4,138.7,132.3,125.6,202.3,212.8,206.4,201.5,195.1,299.1,401.8,399.3,401,399.3
DK,29,15.5,13.8,11.8,9.9,29,27.2,25.9,23.9,22,31.4,42.5,42.3,39.7,36.9
EE,3.4,2.3,3,3.6,4.2,3.4,3.6,4.5,5.3,6.1,4,5.9,7,7.9,8.6
ES,79.6,66.2,64.5,61.1,57.9,79.6,91.3,93,91.1,89.4,114.9,210.3,232,243.2,264.6
FI,14.5,11.7,12.2,12.1,12,14.5,17,17.9,17.9,17.9,15.2,23.1,24.4,24.5,24.6
FR,211.8,147.2,133.7,120.1,108.3,211.8,225.2,215.7,203.2,190.8,268.5,415,428.4,418,406
GR,14,13.9,13.7,12.6,11.8,14,19,20.5,20.6,20.8,24,49.6,58.7,64,72.7
HR,9.9,5.8,4.5,3.8,3.4,9.9,9.7,9,8,7.5,16.5,24.2,25.8,26.8,28.2
HU,48.2,33.2,29.1,26.3,23.5,48.2,50.1,47.8,47.2,46.7,69.5,108.5,114.5,120.5,126.5
IE,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.3,0.2,0.2,0.5,0.9,0.9,0.7,0.5
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,61.7,46.1,42.1,38.5,35.4,61.7,64.3,63.3,62.1,60.8,100.9,160,173.7,179.9,190
LT,14.8,9.6,8.7,10.1,11.7,14.8,14.3,13.5,15.6,17.8,16.2,22.2,22.3,24.5,26.5
LU,0.4,0.2,0.1,0.1,0.1,0.4,0.3,0.3,0.4,0.4,0.5,1,0.9,0.9,1
LV,7,5.8,5.4,4.9,4.5,7,8.4,7.9,7.4,6.9,7.5,12.2,11.9,11,10.1
ME,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.5,0.6
MK,1.5,0.7,0.7,0.7,0.7,1.5,1.4,1.5,1.6,1.7,2.1,3.6,4.1,4.7,5.5
MT,6.9,0,0,0,0,6.9,0,0,0,0,7.3,0,0,0,0
NL,5.7,3.5,3.4,3.5,3.6,5.7,5.3,5.3,5.7,6.2,9.3,11.1,11.9,14.2,16.7
NO,5.9,3.4,3.1,3.1,3.1,5.9,5.1,4.7,4.8,4.9,5.9,6.9,6.5,6.6,6.7
PL,103.2,68.4,57,50.1,43.8,103.2,102.7,88.5,79.8,71.3,103.2,139,124.4,114.2,103.9
PT,5.8,6.1,6.7,6.1,5.5,5.8,7.2,8.2,7.9,7.5,5.8,10.1,12.7,13,13.9
RO,57,34.2,33.1,31.9,31.5,57,54.6,57.4,59.6,61.8,57,80.3,88.9,95.6,102.3
RS,19.9,12.8,12.4,14.1,15.7,19.9,22.1,23.4,27.7,32,19.9,34,38.3,46.3,54.6
SE,20.1,11.6,10.8,10.8,10.7,20.1,17.4,16.4,16.7,17.1,20.1,23.3,22.4,23.1,23.9
SI,0.8,0.7,0.6,0.5,0.5,0.8,1,0.9,0.9,0.9,0.8,1.5,1.5,1.6,1.6
SK,13.4,10,8.7,8,7.3,13.4,14.7,13.6,13.2,12.8,13.4,19.8,19.4,19.5,19.7
UK,71.3,40.4,42,39,35.8,71.3,64.1,69.5,67.2,64.7,71.3,89.9,100.6,99.8,98.8
