,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,4.7,4.4,3.9,3.9,3.9,4.7,4.5,4.2,4.3,4.4,4.7,4.9,4.8,5,5.3
AT,93.5,92.8,91.2,91.9,95.5,93.5,94.8,97,101.7,109.7,93.5,104,110.2,119,132
BE,14.5,14.3,14,14.6,15.9,14.5,14.6,14.9,16.1,18.2,14.5,16,16.9,18.9,21.9
BG,22.5,22.9,22.5,25.6,25.6,22.5,23.4,24,28.3,29.4,22.5,25.7,27.2,33.1,35.4
BH,12.2,12.2,12.2,12.2,12.2,12.2,12.5,13,13.5,14,12.2,13.7,14.8,15.8,16.9
CH,34,30.8,30.4,31.6,34.3,34,31.4,32.3,34.9,39.4,34,34.5,36.7,40.9,47.4
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,65,63.4,62.9,62.1,61.4,65,64.8,67,68.7,70.6,65,71.1,76,80.4,84.9
DE,273,275.4,265.8,261.6,289.7,273,281.3,282.9,289.4,332.8,273,308.7,321.2,338.8,400.4
DK,8.9,7.8,8.4,11.7,13,8.9,8,9,12.9,14.9,8.9,8.8,10.2,15.1,17.9
EE,35.5,34.6,33.4,31.8,32.2,35.5,35.3,35.5,35.2,37,35.5,38.7,40.3,41.3,44.5
ES,66.4,65.5,65.5,67.7,74.5,66.4,66.9,69.7,74.9,85.6,66.4,73.4,79.2,87.7,103
FI,159.2,160.4,155.5,146.2,168.5,159.2,163.8,165.4,161.8,193.6,159.2,179.8,187.8,189.4,232.9
FR,227.8,209.1,221.9,224.3,242.1,227.8,213.6,236.1,248.2,278.1,227.8,234.4,268.1,290.5,334.6
GR,10.4,10.4,10.4,10.4,10.4,10.4,10.7,11.1,11.5,12,10.4,11.7,12.6,13.5,14.4
HR,19.6,19.8,19.4,18.9,18.4,19.6,20,20.6,20.9,21.1,19.6,22.2,23.4,24.5,25.4
HU,30.5,30.7,28.6,31.4,33.9,30.5,31.4,30.4,34.7,39,30.5,34.4,34.6,40.6,46.9
IE,10,11.6,13.3,19.3,20,10,11.8,14.2,21.4,23,10,13,16.1,25,27.7
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,87.9,84.1,84.4,85.7,85.4,87.9,85.9,89.8,94.8,98.1,87.9,94.3,102,110.9,118.1
LT,25.2,23.5,24.8,24.9,26.4,25.2,24,26.3,27.6,30.4,25.2,26.3,29.9,32.3,36.5
LU,3.4,3.1,2.9,2.7,2.6,3.4,3.2,3,2.9,3,3.4,3.5,3.5,3.4,3.6
LV,46.7,43.6,50.7,54,54.7,46.7,44.5,54,59.7,62.9,46.7,48.8,61.3,69.9,75.7
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.9,2.5,2.8,3.1,3.3,3.5
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,4.3,4,4.3,5.3,5.7,4.3,4.1,4.6,5.9,6.5,4.3,4.5,5.2,6.9,7.9
NO,60.1,58.9,59,58.2,57.2,60.1,60.2,62.8,64.4,65.7,60.1,66,71.3,75.4,79.1
PL,164.8,158.9,152.7,166.2,169.8,164.8,162.3,162.4,183.9,195.1,164.8,178.2,184.5,215.2,234.8
PT,31.6,30.2,34.3,32.4,40,31.6,30.8,36.5,35.8,45.9,31.6,33.8,41.5,41.9,55.3
RO,101.9,102.5,98.1,101,104.4,101.9,104.7,104.4,111.7,120,101.9,114.9,118.5,130.8,144.3
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,271.1,267.2,280.2,292.8,287.6,271.1,273,298.1,324,330.5,271.1,299.6,338.5,379.3,397.6
SI,31.1,30.6,29.6,27.9,28,31.1,31.2,31.5,30.9,32.2,31.1,34.3,35.7,36.1,38.7
SK,32.4,31.5,31.5,30.6,31,32.4,32.2,33.5,33.9,35.6,32.4,35.3,38,39.6,42.8
UK,43.4,42.9,47.2,50.9,53.6,43.4,43.9,50.2,56.3,61.6,43.4,48.1,57.1,65.9,74.1
