,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,1.3,1.2,1.1,1.1,1.1,1.3,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5
AT,11.1,11.1,10.9,11,11.4,11.1,11.3,11.6,12.1,13.1,11.1,12.4,13.1,14.2,15.7
BE,1.5,1.5,1.5,1.5,1.7,1.5,1.5,1.6,1.7,1.9,1.5,1.7,1.8,2,2.3
BG,3.1,3.2,3.2,3.6,3.6,3.1,3.3,3.4,4,4.1,3.1,3.6,3.8,4.6,5
BH,5,5,5,5,5,5,5.1,5.3,5.5,5.7,5,5.6,6,6.5,6.9
CH,2.8,2.5,2.5,2.6,2.8,2.8,2.6,2.6,2.8,3.2,2.8,2.8,3,3.3,3.9
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,4.5,4.3,4.3,4.3,4.2,4.5,4.4,4.6,4.7,4.8,4.5,4.9,5.2,5.5,5.8
DE,17.4,17.5,16.9,16.6,18.4,17.4,17.9,18,18.4,21.2,17.4,19.6,20.4,21.5,25.5
DK,2.3,2,2.2,3,3.3,2.3,2,2.3,3.3,3.8,2.3,2.2,2.6,3.9,4.6
EE,4.3,4.1,4,3.8,3.9,4.3,4.2,4.3,4.2,4.4,4.3,4.6,4.8,4.9,5.3
ES,8,7.9,7.9,8.1,8.9,8,8,8.4,9,10.3,8,8.8,9.5,10.5,12.3
FI,10.6,10.7,10.3,9.7,11.2,10.6,10.9,11,10.8,12.9,10.6,12,12.5,12.6,15.5
FR,83.7,76.8,81.5,82.4,89,83.7,78.5,86.7,91.2,102.2,83.7,86.1,98.5,106.8,123.0
GR,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.6,2.7,2.8,2.4,2.7,3,3.2,3.4
HR,3.5,3.6,3.5,3.4,3.3,3.5,3.7,3.7,3.8,3.8,3.5,4,4.2,4.4,4.6
HU,7.2,7.3,6.8,7.4,8,7.2,7.4,7.2,8.2,9.2,7.2,8.2,8.2,9.6,11.1
IE,0.4,0.5,0.5,0.8,0.8,0.4,0.5,0.6,0.9,0.9,0.4,0.5,0.6,1,1.1
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,15,14.3,14.4,14.6,14.5,15,14.6,15.3,16.1,16.7,15,16,17.3,18.9,20.1
LT,3.8,3.6,3.8,3.8,4,3.8,3.7,4,4.2,4.6,3.8,4,4.6,4.9,5.6
LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
LV,5.1,4.8,5.6,5.9,6,5.1,4.9,5.9,6.6,6.9,5.1,5.4,6.7,7.7,8.3
ME,0.8,0.8,2.3,2.4,2.3,0.8,0.8,2.5,2.6,2.7,0.8,0.9,2.8,3.1,3.2
MK,4,4,3.9,3.9,3.9,4,4,4.2,4.4,4.5,4,4.4,4.8,5.1,5.5
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.7,0.7,0.7,0.9,1,0.7,0.7,0.8,1,1.1,0.7,0.8,0.9,1.2,1.3
NO,5.2,5.1,5.1,5,5,5.2,5.2,5.4,5.6,5.7,5.2,5.7,6.2,6.5,6.9
PL,8.1,7.8,7.5,8.1,8.3,8.1,7.9,7.9,9,9.5,8.1,8.7,9,10.5,11.5
PT,0.8,0.8,0.9,0.9,1.1,0.8,0.8,1,0.9,1.2,0.8,0.9,1.1,1.1,1.5
RO,6.2,6.3,6,6.2,6.4,6.2,6.4,6.4,6.8,7.3,6.2,7,7.2,8,8.8
RS,27.3,22.2,20.7,20.1,19.5,27.3,22.7,22.1,22.2,22.4,27.3,24.9,25,26,27
SE,14,13.8,14.5,15.1,14.9,14,14.1,15.4,16.7,17.1,14,15.5,17.5,19.6,20.5
SI,2.6,2.6,2.5,2.3,2.3,2.6,2.6,2.6,2.6,2.7,2.6,2.9,3,3,3.2
SK,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,0.9,1,1.1,1.1,1.2
UK,3.1,3.1,3.4,3.7,3.9,3.1,3.2,3.6,4.1,4.5,3.1,3.5,4.1,4.8,5.4
