,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,1.4,0.5,0.4,0.4,0.2,1.4,0.9,0.9,0.9,0.9,1.4,1.8,2.2,2.2,2.2
AT,15.4,5.1,3.7,3.1,1.5,15.4,8.5,7.4,6.2,6.2,15.4,17.1,18.5,15.4,15.4
BE,1.8,4,2.7,2.7,1.3,1.8,6.6,5.3,5.3,5.3,1.8,13.3,13.3,13.3,13.3
BG,1.1,0.4,0.3,0.2,0.1,1.1,0.7,0.6,0.4,0.4,1.1,1.3,1.6,1.1,1.1
BH,3.7,1.4,1.1,1.1,0.6,3.7,2.3,2.3,2.3,2.3,3.7,4.7,5.7,5.7,5.7
CH,15.1,4.4,3,3,1.6,15.1,7.4,6,5.9,6.5,15.1,14.8,14.9,14.8,16.4
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,13,4.3,3.3,2.6,1.3,13,7.2,6.6,5.2,5.2,13,14.3,16.4,13,13
DE,26.7,9.7,7.8,5.5,2.8,26.7,16.2,15.5,11.1,11.1,26.7,32.4,38.8,27.6,27.6
DK,0.4,0.1,0.1,0.1,0.1,0.4,0.2,0.3,0.3,0.3,0.4,0.4,0.7,0.7,0.7
EE,3.5,0.8,0.5,0.0,0.0,3.5,1.3,1,0.0,0.0,3.5,2.5,2.5,0.0,0.0
ES,5.5,1.7,1.2,1.2,0.5,5.5,2.8,2.4,2.4,2.4,5.5,5.7,5.9,5.9,5.9
FI,28.8,9.3,6.6,6.6,3.3,28.8,15.5,13.3,13.3,13.3,28.8,31,33.2,33.2,33.2
FR,14.2,4.4,3.1,3.1,1.6,14.2,7.4,6.2,6.2,6.2,14.2,14.8,15.6,15.6,15.6
GR,0.4,0.1,0.1,0.1,0,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4
HR,0.0,0.1,0.1,0.1,0,0.0,0.2,0.2,0.2,0.2,0.0,0.3,0.4,0.4,0.4
HU,0.4,0.2,0.2,0.2,0.1,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.8,0.8,0.8
IE,2.2,0.7,0.6,0.6,0.3,2.2,1.2,1.2,1.2,1.2,2.2,2.4,2.9,2.9,2.9
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,2.3,0.8,0.5,0.5,0.3,2.3,1.3,1.1,1.1,1.1,2.3,2.5,2.7,2.7,2.7
LT,2.7,0.9,0.7,0.7,0.4,2.7,1.6,1.4,1.4,1.5,2.7,3.1,3.5,3.6,3.8
LU,0.2,0.1,0,0,0,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
LV,7.5,2.8,2.3,2.4,1.2,7.5,4.7,4.5,4.8,4.9,7.5,9.3,11.3,12,12.2
ME,9.3,3.5,2.9,2.9,1.4,9.3,5.8,5.7,5.7,5.7,9.3,11.7,14.4,14.4,14.4
MK,1.6,0.6,0.5,0.5,0.3,1.6,1,1,1,1,1.6,2,2.5,2.5,2.5
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.4,0.1,0.1,0.1,0,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4
NO,28.4,9.1,6.1,5.8,2.9,28.4,15.1,12.3,11.6,11.6,28.4,30.2,30.7,29,29
PL,5.1,1.6,1.2,1.2,0.6,5.1,2.6,2.4,2.4,2.4,5.1,5.3,6.1,6.1,6.1
PT,1.6,0.6,0.5,0.5,0.2,1.6,1,1,1,1,1.6,2,2.4,2.4,2.4
RO,11.6,4.4,3.6,3.6,1.8,11.6,7.3,7.2,7.2,7.2,11.6,14.6,18,18,18
RS,8.8,3.3,2.7,2.7,1.4,8.8,5.5,5.5,5.5,5.5,8.8,11.1,13.6,13.6,13.7
SE,76.2,24.5,17.4,17.4,8.7,76.2,40.8,34.8,34.8,34.8,76.2,81.6,87,86.9,86.9
SI,0.8,0.3,0.3,0.3,0.1,0.8,0.5,0.6,0.6,0.6,0.8,1,1.4,1.4,1.4
SK,3,1,0.9,0.9,0.4,3,1.7,1.8,1.8,1.8,3,3.4,4.4,4.4,4.4
UK,6.1,2,1.3,1.3,0.7,6.1,3.3,2.7,2.7,2.7,6.1,6.5,6.7,6.7,6.7
