,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,4.1,1.6,1.3,1.3,0.7,4.1,2.6,2.7,2.7,2.7,4.1,5.2,6.6,6.6,6.6
AT,42.1,14,10.3,8.4,4.2,42.1,23.3,20.6,16.9,16.9,42.1,46.6,51.4,42.2,42.2
BE,8.4,8,5.3,5.3,2.7,8.4,13.4,10.7,10.7,10.7,8.4,26.7,26.7,26.7,26.7
BG,4,1.5,1.4,0.8,0.4,4,2.5,2.7,1.6,1.6,4,5,6.8,4,4
BH,10.9,4.2,3.5,3.5,1.8,10.9,7,7.1,7.1,7.1,10.9,14,17.7,17.7,17.7
CH,32.7,9.7,6.5,6.5,3.6,32.7,16.1,13,12.9,14.3,32.7,32.3,32.5,32.3,35.8
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,36.5,12.1,9.6,7.3,3.6,36.5,20.1,19.3,14.6,14.6,36.5,40.2,48.2,36.5,36.5
DE,98.9,35.1,27.6,20.5,10.3,98.9,58.5,55.2,41,41,98.9,116.9,138,102.6,102.6
DK,1.4,0.4,0.4,0.4,0.2,1.4,0.7,0.7,0.7,0.7,1.4,1.4,1.8,1.8,1.8
EE,8.8,1.8,1,0.0,0.0,8.8,3,2,0.0,0.0,8.8,6,5,0.0,0.0
ES,23.8,8.3,6.3,6.3,3.1,23.8,13.8,12.6,12.6,12.6,23.8,27.6,31.5,31.5,31.5
FI,65.9,21.9,15.9,15.9,8,65.9,36.6,31.9,31.9,31.9,65.9,73.1,79.7,79.7,79.7
FR,46.9,15,10.9,10.9,5.5,46.9,25.1,21.8,21.8,21.8,46.9,50.2,54.5,54.5,54.5
GR,2.1,0.8,0.7,0.7,0.4,2.1,1.4,1.4,1.4,1.4,2.1,2.8,3.5,3.5,3.5
HR,0.0,0.3,0.3,0.3,0.1,0.0,0.5,0.5,0.5,0.5,0.0,1,1.3,1.3,1.3
HU,2.2,1,0.9,0.9,0.4,2.2,1.6,1.7,1.7,1.7,2.2,3.2,4.3,4.3,4.3
IE,5.9,2.1,1.7,1.7,0.8,5.9,3.5,3.3,3.3,3.3,5.9,6.9,8.4,8.4,8.4
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,18.1,6.4,4.9,4.9,2.4,18.1,10.6,9.8,9.8,9.8,18.1,21.2,24.4,24.4,24.4
LT,6.6,2.4,1.8,1.8,0.9,6.6,4,3.5,3.6,3.8,6.6,8.1,8.8,8.9,9.4
LU,1.8,0.5,0.4,0.3,0.2,1.8,0.9,0.7,0.7,0.6,1.8,1.8,1.8,1.6,1.6
LV,17,6.4,5.2,5.6,2.8,17,10.7,10.5,11.1,11.3,17,21.4,26.2,27.9,28.3
ME,27.2,10.5,8.8,8.8,4.4,27.2,17.5,17.7,17.7,17.7,27.2,34.9,44.2,44.2,44.3
MK,4.8,1.8,1.5,1.5,0.8,4.8,3.1,3.1,3.1,3.1,4.8,6.1,7.7,7.7,7.7
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.8,0.2,0.3,0.3,0.1,0.8,0.4,0.6,0.6,0.6,0.8,0.8,1.5,1.5,1.5
NO,61.5,19.7,13.4,12.7,6.4,61.5,32.9,26.9,25.4,25.4,61.5,65.7,67.2,63.4,63.5
PL,27.8,9.7,8,8,4,27.8,16.2,16.1,16.1,16.1,27.8,32.4,40.1,40.1,40.1
PT,6.6,2.6,2.2,2.2,1.1,6.6,4.4,4.4,4.4,4.4,6.6,8.8,11,11,11
RO,34,13.1,11.1,11.1,5.5,34,21.8,22.1,22.1,22.1,34,43.7,55.3,55.3,55.3
RS,25.9,10,8.4,8.4,4.2,25.9,16.6,16.8,16.8,16.8,25.9,33.2,42,42,42
SE,165,53.3,38.1,38,19,165,88.8,76.1,76,76.1,165,177.6,190.3,190.1,190.2
SI,3.7,1.4,1.2,1.2,0.6,3.7,2.4,2.5,2.5,2.5,3.7,4.8,6.2,6.2,6.2
SK,9.4,3.3,2.9,2.9,1.4,9.4,5.5,5.7,5.7,5.7,9.4,10.9,14.3,14.3,14.3
UK,18.8,6.1,4.3,4.3,2.1,18.8,10.1,8.5,8.5,8.5,18.8,20.3,21.4,21.4,21.3
