,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Low availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,Medium availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario,High availability scenario
,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050,2010,2020,2030,2040,2050
AL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AT,2.4,2.4,2.6,2.8,3.1,2.4,2.8,3.2,3.7,4.2,2.4,3.4,3.9,4.7,5.6
BE,8,7.9,8.7,9.7,10.8,8,9.2,11.8,15.2,19.5,8,11.1,14.2,19.2,25.7
BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,0.8,0.9,1,1.1,1.2,0.8,1,1.3,1.7,2.2,0.8,1.2,1.6,2.2,2.9
CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.3,0.4,0.5,0.7,0.9
DE,6.2,6,6.1,6.2,6.2,6.2,7,8.3,9.7,11.2,6.2,8.5,10,12.2,14.8
DK,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.2,0.3,0.4,0.5
EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,0.8,0.8,0.9,1,1.1,0.8,0.9,1.4,1.7,2.1,0.8,1.1,1.7,2.1,2.7
FI,2.2,2.1,2.2,2.4,2.5,2.2,2.5,3,3.6,4.1,2.2,3,3.7,4.6,5.4
FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.4,0.5,0.6,0.7,0.9
HR,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1
HU,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.2,0.2,0.3,0.4,0.5
IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0.1
IT,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.2,0.2,0.3,0.4,0.5
LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.4,0.5,0.2,0.3,0.4,0.6,0.7
NO,0.3,0.3,0.4,0.5,0.6,0.3,0.3,0.5,0.7,1.1,0.3,0.4,0.6,0.9,1.4
PL,0.6,0.6,0.7,0.7,0.7,0.6,0.8,1,1.2,1.4,0.6,0.9,1.2,1.5,1.8
PT,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.7,0.9,0.4,0.5,0.7,0.9,1.1
RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,1,1,1.1,1.2,1.3,1,1.2,1.5,1.9,2.4,1,1.4,1.8,2.4,3.2
SI,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3
