country_code,year,generation_gwh
AFG,2000,457
AFG,2001,457
AFG,2002,457
AFG,2003,458
AFG,2004,458
AFG,2005,461
AFG,2006,659
AFG,2007,691
AFG,2008,591
AFG,2009,753
AFG,2010,803
AFG,2011,682
AFG,2012,736
AFG,2013,854
AFG,2014,967
AFG,2015,1000
AFG,2016,1024
AFG,2017,1048
AFG,2018,927
AGO,2000,900
AGO,2001,1010
AGO,2002,1130
AGO,2003,1230
AGO,2004,1730
AGO,2005,2200
AGO,2006,2540
AGO,2007,2880
AGO,2008,3146
AGO,2009,3300
AGO,2010,3650
AGO,2011,4007
AGO,2012,3804
AGO,2013,3603
AGO,2014,5004
AGO,2015,5004
AGO,2016,6250
AGO,2017,7678
AGO,2018,7678
ALB,2000,4594
ALB,2001,3555
ALB,2002,3512
ALB,2003,4885
ALB,2004,5466
ALB,2005,5373
ALB,2006,5431
ALB,2007,2788
ALB,2008,3797
ALB,2009,5201
ALB,2010,7567
ALB,2011,4132
ALB,2012,4725
ALB,2013,6959
ALB,2014,4724
ALB,2015,5895
ALB,2016,7781
ALB,2017,4524
ALB,2018,8552
AND,2000,80
AND,2001,80
AND,2002,80
AND,2003,80
AND,2004,93
AND,2005,84
AND,2006,70
AND,2007,57
AND,2008,63
AND,2009,62
AND,2010,100
AND,2011,78
AND,2012,76
AND,2013,101
AND,2014,113
AND,2015,85
AND,2016,84
AND,2017,85
AND,2018,114
ARG,2000,28650
ARG,2001,36909
ARG,2002,35733
ARG,2003,33689
ARG,2004,29876
ARG,2005,33760
ARG,2006,37711
ARG,2007,30994
ARG,2008,30918
ARG,2009,34378
ARG,2010,33274
ARG,2011,31282
ARG,2012,28939
ARG,2013,32720
ARG,2014,32375
ARG,2015,33980
ARG,2016,29308
ARG,2017,38765
ARG,2018,39133
ARM,2000,1261
ARM,2001,967
ARM,2002,1657
ARM,2003,1981
ARM,2004,2013
ARM,2005,1772
ARM,2006,1822
ARM,2007,1852
ARM,2008,1797
ARM,2009,2019
ARM,2010,2556
ARM,2011,2488
ARM,2012,2311
ARM,2013,2173
ARM,2014,1992
ARM,2015,2205
ARM,2016,2351
ARM,2017,2269
ARM,2018,2317
AUS,2000,16360
AUS,2001,16563
AUS,2002,15877
AUS,2003,16274
AUS,2004,16110
AUS,2005,15309
AUS,2006,15926
AUS,2007,14339
AUS,2008,11909
AUS,2009,11802
AUS,2010,13501
AUS,2011,16693
AUS,2012,13979
AUS,2013,18115
AUS,2014,18337
AUS,2015,13323
AUS,2016,15021
AUS,2017,16037
AUS,2018,15831
AUT,2000,41835
AUT,2001,40455
AUT,2002,40226
AUT,2003,33215
AUT,2004,36762
AUT,2005,37095
AUT,2006,35656
AUT,2007,37054
AUT,2008,38329
AUT,2009,40896
AUT,2010,38363
AUT,2011,34237
AUT,2012,43847
AUT,2013,42016
AUT,2014,41007
AUT,2015,37156
AUT,2016,39971
AUT,2017,38293
AUT,2018,37637
AZE,2000,1534
AZE,2001,1301
AZE,2002,2020
AZE,2003,2469
AZE,2004,2755
AZE,2005,3009
AZE,2006,2518
AZE,2007,2364
AZE,2008,2232
AZE,2009,2308
AZE,2010,3446
AZE,2011,2675
AZE,2012,1821
AZE,2013,1490
AZE,2014,1300
AZE,2015,1637
AZE,2016,1959
AZE,2017,1746
AZE,2018,1768
BDI,2000,98
BDI,2001,112
BDI,2002,124
BDI,2003,100
BDI,2004,90
BDI,2005,98
BDI,2006,154
BDI,2007,197
BDI,2008,212
BDI,2009,200
BDI,2010,228
BDI,2011,240
BDI,2012,251
BDI,2013,249
BDI,2014,240
BDI,2015,236
BDI,2016,271
BDI,2017,258
BDI,2018,240
BEL,2000,460
BEL,2001,441
BEL,2002,360
BEL,2003,247
BEL,2004,317
BEL,2005,288
BEL,2006,359
BEL,2007,388
BEL,2008,409
BEL,2009,328
BEL,2010,312
BEL,2011,196
BEL,2012,357
BEL,2013,380
BEL,2014,292
BEL,2015,318
BEL,2016,370
BEL,2017,270
BEL,2018,313
BEN,2000,1
BEN,2001,1
BEN,2002,1
BEN,2003,1
BEN,2004,1
BEN,2005,0
BEN,2006,0
BEN,2007,0
BEN,2008,0
BEN,2009,0
BEN,2010,0
BEN,2011,0
BEN,2012,0
BEN,2013,0
BEN,2014,0
BEN,2015,1
BEN,2016,0
BEN,2017,0
BEN,2018,0
BFA,2000,98
BFA,2001,53
BFA,2002,63
BFA,2003,95
BFA,2004,101
BFA,2005,100
BFA,2006,80
BFA,2007,111
BFA,2008,135
BFA,2009,132
BFA,2010,117
BFA,2011,81
BFA,2012,96
BFA,2013,105
BFA,2014,90
BFA,2015,93
BFA,2016,139
BFA,2017,127
BFA,2018,127
BGD,2000,1389
BGD,2001,1293
BGD,2002,1226
BGD,2003,1126
BGD,2004,1066
BGD,2005,993
BGD,2006,946
BGD,2007,749
BGD,2008,708
BGD,2009,591
BGD,2010,824
