id,lc_11,lc_14,lc_20,lc_30,lc_40,lc_50,lc_60,lc_70,lc_90,lc_100,lc_110,lc_120,lc_130,lc_140,lc_150,lc_160,lc_170,lc_180,lc_190,lc_200,lc_210,lc_220,lc_230
AUT,,167945,238773,94463,,247194,,196148,8795,174024,12736,70599,,34748,24441,,,266,10337,10108,8932,1464,
BEL,,89708,85837,73143,,111649,,9725,1647,29108,5829,49716,,18939,457,,,994,25796,217,2275,,
BGR,1099,286869,383980,158661,,394666,,74632,574,75734,5355,65063,54405,3809,38742,,,2,27638,237,10447,,
HRV,,203610,133366,97293,,196208,,10330,2847,24181,1340,142300,308,8416,2642,,,,2411,2077,10437,,
CYP,37,9529,29109,17956,,148,,18688,,105,2776,4022,8735,53,17168,,,43,8824,260,933,32,
CZE,,310224,246921,102159,,250668,,134995,8053,107349,2365,66240,,18635,2449,,,379,16735,425,7390,,
DNK,,191448,201229,91771,,122721,,8722,1638,22541,5873,102315,,14515,1419,,,7638,15113,445,17375,,
EST,,67507,125317,71354,,281649,,44747,12862,183553,5507,6649,,1629,14993,,,44570,4400,182,44161,,
FIN,,124,893,,,483881,,11848,3524787,1297835,308273,377984,,29,978615,,,593205,55599,1798,534447,3,
FRA,4,2936695,1064470,1100461,,1228455,,117456,66206,214963,21247,1002464,14020,371567,41293,,,852,102615,19861,50249,1395,
DEU,,1337986,857967,645982,,1181116,,267304,32903,544395,72795,523077,,236410,9041,,,18471,159016,2663,64837,15,
GRC,78832,238173,374480,156211,,216784,,144584,,76096,46619,50988,208161,1129,120437,,,203,33618,1706,29123,6,3
HUN,,557079,467228,114840,,164705,,583,1295,2993,177,62312,,5676,13643,,,227,19708,499,19179,,
IRL,,26508,5495,18316,,71,,26199,,71,255075,87928,98,755864,1013,,,4768,8375,455,28417,,
ITA,45349,916288,1244244,290705,,782590,,148272,8274,121713,26849,93684,79610,22427,281263,,,183,166342,17582,42533,3215,
LVA,,119611,164958,166521,,385585,,112269,4251,211063,86,6054,,6987,899,,,28168,5091,23,20710,,
LTU,,233297,250891,147310,,313449,,60785,3898,121880,495,21994,,4361,1882,,,3572,7054,140,19661,,
LUX,,3699,1886,6575,,14629,,118,66,900,313,8834,,4092,16,,,,799,5,50,,
NLD,,79319,89852,71527,,104605,,6918,2116,21785,14829,77346,,70596,1545,,,1181,41734,852,53281,146,
POL,,1517775,1233456,362713,,859344,,349921,51853,578904,9537,152945,,48898,5013,,,5857,64756,1082,64619,,
PRT,24529,79481,227739,106558,,56007,,183557,,51694,34543,81458,218463,39,105491,,,151,30732,828,8001,,
ROU,,1003540,887003,379764,,683434,,160759,4350,116694,2118,171175,,26620,32519,,,41118,25907,808,42421,116,
SVK,,150978,152447,70781,,212081,,57992,2646,49207,1509,57478,,9058,2198,,,4,5765,99,4105,,
SVN,,23165,18570,30360,,118275,,19139,1268,40801,586,41536,,7802,1512,,,,1786,431,513,67,
ESP,179193,979789,1431243,806306,,526031,,617431,21866,223525,180887,315059,719032,4600,672703,,,118,94961,47832,35382,3,
SWE,,45202,63152,33732,,644437,,18951,4218822,1595239,399777,510249,,2822,1267880,,,688450,52364,80466,626904,9792,
GBR,,769757,90376,217507,,421,,197385,,53,1217347,362814,422,1224964,5791,,,2335,208153,1972,64068,1,
ALB,244,66442,123481,61272,,60847,,20416,14,12065,2706,1683,30307,191,8055,,,27,2729,641,8310,,
BIH,,89866,70725,107861,,246754,,18469,1529,46992,2143,146314,,9008,290,,,,1459,118,3374,,
MKD,3935,25285,85541,43920,,117811,,9233,,12510,1317,3211,21190,271,12369,,,5,3890,67,6933,,
MNE,,27023,27596,32239,,54598,,7227,649,8103,446,24785,175,2114,351,,,,246,79,4495,,
NOR,,31,253,68,,565692,426,7813,1091836,665940,282301,238292,187,596,3666388,,,572257,6497,441356,224786,57611,16
SRB,,263876,240231,182154,,276361,,6075,2149,9997,166,141390,243,2468,2275,,,,4911,324,9479,,
CHE,,46487,100410,68852,,132544,,44947,2762,33375,16909,64180,,40507,27942,,,,5712,17141,20631,8143,
