id,lc_11,lc_14,lc_20,lc_30,lc_40,lc_50,lc_60,lc_70,lc_90,lc_100,lc_110,lc_120,lc_130,lc_140,lc_150,lc_160,lc_170,lc_180,lc_190,lc_200,lc_210,lc_220,lc_230
AUT.1_1,,17144,15491,4148,,13985,,316,112,3796,,3450,,296,68,,,193,195,7,2256,,
AUT.2_1,,6128,20433,7792,,25962,,32197,1588,34128,719,7114,,3158,2145,,,1,852,901,1245,184,
AUT.3_1,,82068,59284,17956,,64522,,26422,1432,27764,1153,14452,,3851,298,,,,1602,94,1209,,
AUT.4_1,,27366,25056,22434,,39934,,16935,497,19821,2418,19366,,8885,847,,,5,1171,164,2217,19,
AUT.5_1,,4886,21130,9092,,16760,,19761,1119,14855,4523,6400,,5302,3793,,,2,792,1696,557,177,
AUT.6_1,,14377,40330,11896,,54863,,58373,2035,48948,1894,10945,,5519,1600,,,5,2035,239,204,,
AUT.7_1,,12248,46443,17485,,22793,,35980,1732,20876,1642,6173,,6053,13472,,,54,1011,6640,273,1049,
AUT.8_1,,2823,9343,2933,,7071,,5983,240,3755,388,2535,,1671,1976,,,1,295,254,516,7,
AUT.9_1,,923,1001,582,,1147,,8,18,12,,125,,14,152,,,,2366,59,143,,
BEL.1_1,,72,94,76,,439,,1,65,22,,18,,2,1,,,,1792,,,,
BEL.2_1,,50814,55387,43048,,32532,,1174,926,4877,49,16673,,2666,337,,,3,17046,200,1869,,
BEL.3_1,,38920,30485,30163,,78848,,8542,659,24266,5779,33165,,16320,120,,,992,6966,16,354,,
BGR.1_1,,7954,17394,5036,,23104,,17301,,14943,364,151,3311,43,1790,,,,1156,37,16,,
BGR.2_1,,7579,24585,7580,,42904,,2321,11,3057,398,4090,8453,305,4519,,,2,2813,38,1820,,
BGR.3_1,,33226,22999,5549,,3006,,10,,,,767,,35,2095,,,,237,17,294,,
BGR.4_1,,2837,3059,9438,,12256,,69,77,374,40,3197,,217,35,,,,103,2,130,,
BGR.5_1,,972,2673,529,,6876,,1197,51,1342,52,114,1555,4,136,,,,3341,,414,,
BGR.6_1,1,7874,22667,6072,,16910,,1160,,3495,321,912,6344,,6912,,,,1769,,375,,
BGR.7_1,,5079,7690,864,,11117,,3841,,8826,89,197,3875,,1396,,,,451,,507,,
BGR.8_1,,4746,7847,2642,,17625,,3598,4,5407,74,202,1466,12,410,,,,590,,28,,
BGR.9_1,,6956,8914,13895,,19894,,524,88,1071,131,8322,2,684,143,,,,34,1,87,,
BGR.10_1,,13975,12469,10114,,12477,,218,53,481,,3087,,232,459,,,,161,,559,,
BGR.11_1,57,3574,9034,1430,,15346,,14456,21,6804,436,765,3748,19,2916,,,,1887,8,625,,
BGR.12_1,,3039,5364,1696,,17307,,1466,5,2226,18,238,1798,54,74,,,,1061,,135,,
BGR.13_1,,28151,24862,7048,,980,,42,8,55,,1347,,54,763,,,,182,,723,,
